type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
W,49.178883000,16.604862700,203.0,,,,"HORNBACH Brno, Heršpická, Brno-střed, Czechia",
W,50.075538100,14.437800500,251.4,,,,"Prague, Czechia",

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.178880000,16.604730000,203.0,,0.000,,"HORNBACH Brno, Heršpická, Brno-střed, Czechia - Prague, Czechia","204 km, 1:57"
T,49.178810000,16.604730000,203.0,0.0,0.008,7.78,,
T,49.178760000,16.604710000,203.0,-0.8,0.014,5.75,,
T,49.178620000,16.604670000,202.8,-0.9,0.029,15.84,,
T,49.178540000,16.604650000,202.6,-2.9,0.038,9.02,,
T,49.178500000,16.604640000,202.4,-2.9,0.043,4.51,,
T,49.178480000,16.604610000,202.3,-3.4,0.046,3.12,,
T,49.178470000,16.604570000,202.2,-3.0,0.049,3.12,,
T,49.178480000,16.604220000,201.2,-4.0,0.075,25.54,,
T,49.178480000,16.604220000,201.2,,0.075,0.00,,
T,49.178390000,16.604200000,201.1,-0.7,0.085,10.11,,
T,49.178370000,16.604200000,201.1,0.0,0.087,2.22,,
T,49.178360000,16.604200000,201.1,0.0,0.088,1.11,,
T,49.178300000,16.604230000,201.1,-0.6,0.095,7.02,,
T,49.178300000,16.604230000,201.1,,0.095,0.00,,
T,49.178260000,16.604270000,201.0,-1.3,0.100,5.32,,
T,49.178250000,16.604290000,201.0,0.1,0.102,1.83,,
T,49.178240000,16.604320000,201.0,0.8,0.105,2.45,,
T,49.178240000,16.604340000,201.1,3.2,0.106,1.46,,
T,49.178220000,16.604470000,201.2,1.5,0.116,9.74,,
T,49.178190000,16.604740000,201.5,1.6,0.136,19.97,,
T,49.178150000,16.605010000,202.3,3.9,0.156,20.18,,
T,49.178140000,16.605110000,202.3,-0.5,0.163,7.38,,
T,49.178030000,16.605080000,201.9,-3.2,0.176,12.43,,
T,49.178000000,16.605080000,201.8,-3.2,0.179,3.34,,
T,49.177860000,16.605040000,201.3,-3.2,0.195,15.84,,
T,49.177800000,16.605030000,201.1,-3.2,0.202,6.71,,
T,49.177700000,16.605010000,201.0,-0.9,0.213,11.22,,
T,49.177700000,16.605010000,201.0,,0.213,0.00,,
T,49.177700000,16.604730000,200.6,-2.0,0.233,20.42,,
T,49.177660000,16.604140000,201.3,1.6,0.277,43.25,,
T,49.177670000,16.603730000,200.9,-1.1,0.307,29.91,,
T,49.177670000,16.603730000,200.9,,0.307,0.00,,
T,49.177700000,16.603550000,200.7,-1.7,0.320,13.54,,
T,49.177260000,16.603380000,206.2,10.8,0.371,50.48,,
T,49.177010000,16.603290000,208.2,7.2,0.399,28.57,,
T,49.176890000,16.603250000,207.5,-5.1,0.413,13.66,,
T,49.176590000,16.603140000,202.9,-13.6,0.447,34.31,,
T,49.176460000,16.603090000,201.7,-8.0,0.462,14.91,,
T,49.176050000,16.602930000,201.9,0.5,0.509,47.07,,
T,49.175030000,16.602510000,205.0,2.6,0.627,117.50,,
T,49.174200000,16.602180000,203.0,-2.0,0.722,95.39,,
T,49.173800000,16.602020000,203.2,0.5,0.768,45.99,,
T,49.173620000,16.601940000,204.0,3.5,0.789,20.85,,
T,49.173490000,16.601890000,204.0,0.2,0.804,14.91,,
T,49.173350000,16.601830000,204.0,0.0,0.820,16.17,,
T,49.173160000,16.601740000,204.5,2.1,0.842,22.13,,
T,49.172670000,16.601440000,205.4,1.6,0.901,58.72,,
T,49.172650000,16.601430000,205.5,3.1,0.903,2.34,,
T,49.172400000,16.601250000,205.5,0.1,0.934,30.75,,
T,49.172150000,16.601050000,205.0,-1.6,0.965,31.40,,
T,49.171750000,16.600670000,206.3,2.5,1.018,52.41,,
T,49.171330000,16.600290000,207.8,2.7,1.072,54.31,,
T,49.170830000,16.599850000,209.0,2.0,1.136,64.20,,
T,49.170750000,16.599790000,209.3,2.9,1.146,9.91,,
T,49.170610000,16.599680000,209.8,3.0,1.164,17.51,,
T,49.170470000,16.599570000,210.2,1.9,1.181,17.51,,
T,49.170200000,16.599380000,210.7,1.7,1.214,33.07,,
T,49.169850000,16.599170000,209.5,-3.0,1.256,41.83,,
T,49.169590000,16.599060000,209.5,0.1,1.286,30.01,,
T,49.169340000,16.598920000,210.0,1.8,1.316,29.62,,
T,49.169050000,16.598790000,210.8,2.3,1.349,33.62,,
T,49.168620000,16.598700000,213.6,5.9,1.398,48.27,,
T,49.167850000,16.598590000,215.9,2.6,1.484,86.01,,
T,49.167670000,16.598600000,216.5,3.0,1.504,20.03,,
T,49.167640000,16.598600000,216.6,3.2,1.507,3.34,,
T,49.167350000,16.598580000,217.8,3.7,1.539,32.28,,
T,49.164560000,16.598780000,219.0,0.4,1.850,310.63,,
T,49.163630000,16.598870000,219.1,0.1,1.953,103.64,,
T,49.163450000,16.598890000,218.4,-3.3,1.974,20.07,,
T,49.163130000,16.598920000,216.5,-5.4,2.009,35.66,,
T,49.162630000,16.598970000,216.2,-0.6,2.065,55.73,,
T,49.162630000,16.598970000,216.2,,2.065,0.00,,
T,49.162380000,16.598920000,216.5,1.2,2.093,28.04,,
T,49.162260000,16.598890000,216.9,2.7,2.106,13.52,,
T,49.162130000,16.598860000,216.9,-0.0,2.121,14.62,,
T,49.162010000,16.598830000,216.6,-1.7,2.135,13.52,,
T,49.161910000,16.598780000,216.0,-5.2,2.146,11.70,,
T,49.161890000,16.598780000,215.9,-5.2,2.149,2.22,,
T,49.161830000,16.598750000,215.4,-7.4,2.156,7.02,,
T,49.161770000,16.598710000,214.9,-7.2,2.163,7.28,,
T,49.161700000,16.598670000,214.4,-6.1,2.171,8.31,,
T,49.161630000,16.598630000,214.1,-3.5,2.179,8.31,,
T,49.161580000,16.598580000,214.0,-1.0,2.186,6.65,,
T,49.161470000,16.598490000,214.0,0.0,2.200,13.88,,
T,49.161410000,16.598420000,214.0,0.0,2.208,8.40,,
T,49.161340000,16.598330000,214.3,3.4,2.219,10.18,,
T,49.161300000,16.598280000,214.6,4.0,2.224,5.75,,
T,49.161260000,16.598230000,214.8,3.1,2.230,5.75,,
T,49.161200000,16.598150000,214.9,1.8,2.239,8.86,,
