type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.19598,16.60649,227.5,,0,,"Brno, Czechia - Vienna, Austria","137 km, 1:47"
T,49.1968,16.6057,234.3,6.3,0.108,107.85,,
T,49.19694,16.60559,232.3,-11.8,0.125,17.51,,
T,49.19714,16.60548,231,-5.3,0.149,23.64,,
T,49.19736,16.60538,230.7,-1.3,0.175,25.53,,
T,49.19741,16.60536,230.8,1.6,0.18,5.75,,
T,49.19746,16.60534,230.9,2,0.186,5.75,,
T,49.19746,16.60534,230.9,,0.186,0,,
T,49.19776,16.6072,225.1,-4.2,0.326,139.61,,
T,49.19776,16.6072,225.1,,0.326,0,,
T,49.19792,16.60715,224,-6,0.344,18.16,,
T,49.19797,16.60714,223.6,-6.4,0.349,5.61,,
T,49.19801,16.60714,223.3,-6.5,0.354,4.45,,
T,49.19803,16.60715,223.2,-6.2,0.356,2.34,,
T,49.19806,16.60716,223,-6.2,0.36,3.42,,
T,49.19807,16.60718,222.9,-3.7,0.361,1.83,,
T,49.19807,16.60719,222.9,-0.3,0.362,0.73,,
T,49.19808,16.6072,222.8,-5.3,0.364,1.33,,
T,49.19808,16.60721,222.8,-0.4,0.364,0.73,,
T,49.1981,16.60722,222.7,-6.3,0.367,2.34,,
T,49.19813,16.60726,222.6,-2.6,0.371,4.43,,
T,49.19815,16.60731,222.5,-0.8,0.375,4.27,,
T,49.19818,16.60735,222.4,-3.9,0.38,4.43,,
T,49.19824,16.60742,221.9,-5.3,0.388,8.4,,
T,49.19855,16.60777,221.2,-1.7,0.431,42.89,,
T,49.19862,16.60786,221,-2,0.441,10.18,,
T,49.19866,16.60794,220.9,-1.3,0.449,7.33,,
T,49.19872,16.60806,220.6,-2.6,0.46,11,,
T,49.19877,16.60815,220.4,-2.1,0.468,8.6,,
T,49.1988,16.60822,220.3,-1.8,0.474,6.1,,
T,49.19883,16.60827,220.2,-2.2,0.479,4.94,,
T,49.19888,16.60835,220,-2.3,0.487,8.06,,
T,49.19891,16.60841,219.8,-3.3,0.493,5.5,,
T,49.19894,16.60848,219.6,-3.5,0.499,6.1,,
T,49.19899,16.60856,219.3,-4.5,0.507,8.06,,
T,49.19908,16.60874,218.5,-4.8,0.523,16.5,,
T,49.19923,16.60903,217.9,-2.2,0.55,26.93,,
T,49.19932,16.60922,218,0.8,0.567,17.09,,
T,49.19936,16.60933,218.2,2.3,0.577,9.17,,
T,49.1994,16.60944,218.7,4.8,0.586,9.17,,
T,49.19947,16.60962,218.5,-1,0.601,15.25,,
T,49.19954,16.60981,218.3,-1.6,0.617,15.89,,
T,49.19959,16.60997,217.7,-4.4,0.63,12.92,,
T,49.19963,16.6101,217.3,-3.6,0.64,10.47,,
T,49.19963,16.6101,217.3,,0.64,0,,
T,49.19956,16.61032,216.4,-5.4,0.658,17.82,,
T,49.19921,16.61133,218.8,3,0.741,83.27,,
T,49.19913,16.61156,218.3,-2.7,0.76,18.98,,
T,49.1987,16.6128,213.9,-4.3,0.863,102.24,,
T,49.19858,16.61312,213,-3.4,0.889,26.87,,
T,49.19846,16.61342,212.5,-1.8,0.915,25.62,,
T,49.19841,16.61353,212.1,-4.6,0.925,9.76,,
T,49.19836,16.61363,211.8,-3.6,0.934,9.17,,
T,49.19829,16.61373,211.1,-6.1,0.945,10.66,,
T,49.19827,16.61377,210.9,-6.4,0.948,3.67,,
T,49.1982,16.61386,210.6,-3,0.958,10.18,,
T,49.19809,16.61397,210.5,-0.3,0.973,14.63,,
T,49.19805,16.61402,210.5,-0.2,0.979,5.75,,
T,49.19726,16.61468,212.9,2.3,1.079,100.16,,
T,49.19716,16.61476,212.1,-5.7,1.092,12.56,,
T,49.19663,16.61517,208,-6.2,1.158,66.09,,
T,49.19622,16.61549,208.1,0.1,1.209,51.22,,
T,49.19609,16.61556,208.2,1.2,1.224,15.33,,
T,49.19573,16.61586,210.5,5,1.27,45.62,,
T,49.19554,16.61603,209.9,-2.4,1.294,24.5,,
T,49.19536,16.61619,209.1,-3.4,1.317,23.17,,
T,49.19525,16.61626,208.9,-2,1.331,13.25,,
T,49.19519,16.6163,208.4,-6.2,1.338,7.28,,
T,49.19512,16.61633,208,-5.6,1.346,8.09,,
T,49.19506,16.61635,207.6,-5.4,1.353,6.83,,
T,49.19499,16.61637,207.2,-5.6,1.361,7.92,,
T,49.19491,16.61638,206.8,-4.6,1.37,8.93,,
T,49.1948,16.61638,206.3,-3.4,1.382,12.23,,
T,49.19456,16.61633,204.9,-5.2,1.409,26.94,,
T,49.19433,16.61621,203.2,-6.5,1.436,27.03,,
T,49.19346,16.6158,204.1,0.9,1.537,101.27,,
T,49.19313,16.61564,203.5,-1.7,1.576,38.51,,
T,49.19279,16.61548,203,-1.1,1.615,39.57,,
T,49.19197,16.61513,204,1.1,1.71,94.7,,
T,49.19191,16.61509,204.1,0.5,1.717,7.28,,
T,49.19178,16.61501,204,-0.2,1.733,15.59,,
T,49.19178,16.61501,204,,1.733,0,,
T,49.19169,16.61494,204,-0.5,1.744,11.23,,
T,49.19166,16.61492,204,1.4,1.748,3.64,,
T,49.1916,16.61487,204.3,2.9,1.755,7.6,,
T,49.19148,16.61478,204.3,0.2,1.77,14.87,,
T,49.19137,16.61469,204.2,-0.7,1.784,13.88,,
T,49.19114,16.61453,205,2.8,1.812,28.11,,
T,49.19108,16.61449,204.9,-1.1,1.82,7.28,,
T,49.19103,16.61447,204.7,-3.1,1.825,5.75,,
T,49.19094,16.61444,204.4,-3,1.836,10.25,,
T,49.19084,16.61441,204.1,-2.2,1.847,11.33,,
T,49.19078,16.61441,203.9,-3.2,1.854,6.67,,
T,49.19065,16.61441,203.5,-3.2,1.868,14.46,,
T,49.19056,16.61442,203.1,-3.6,1.878,10.04,,
T,49.18966,16.61458,200.6,-2.4,1.979,100.77,,
T,49.18952,16.61464,200.4,-1.5,1.995,16.17,,
T,49.18952,16.61464,200.4,,1.995,0,,
T,49.18946,16.61445,202,10.1,2.01,15.37,,
T,49.18935,16.61411,203.9,7.1,2.038,27.64,,
T,49.18934,16.6141,203.9,-0.4,2.039,1.33,,
T,49.18926,16.61385,204.1,0.6,2.06,20.28,,
T,49.18918,16.61361,204,0,2.079,19.63,,
T,49.18899,16.61303,205.7,3.4,2.126,47.27,,
T,49.1888,16.61245,204.8,-1.8,2.174,47.27,,
T,49.18878,16.61235,204.2,-8.2,2.181,7.62,,
T,49.18875,16.61225,203.6,-7.1,2.189,8.02,,
T,49.1887,16.61191,201.6,-7.7,2.215,25.4,,
T,49.18869,16.6118,201.6,-0.9,2.223,8.1,,
T,49.1887,16.61118,201.4,-0.4,2.268,45.21,,
T,49.18872,16.61096,200.8,-3.4,2.284,16.19,,
T,49.18872,16.61096,200.8,,2.284,0,,
T,49.18866,16.61095,200.6,-3.8,2.291,6.71,,
T,49.18861,16.61094,200.4,-3.9,2.297,5.61,,
T,49.18832,16.61087,199.1,-3.8,2.329,32.65,,
T,49.1882,16.61083,199,-1,2.343,13.66,,
T,49.18815,16.61081,199,-0.4,2.349,5.75,,
T,49.1881,16.61077,199,-0.1,2.355,6.28,,
T,49.18805,16.61072,199,0.2,2.362,6.65,,
T,49.18787,16.61045,198.8,-0.5,2.39,28.07,,
T,49.18763,16.60983,201.8,5.6,2.442,52.49,,
T,49.18759,16.60972,201.7,-1.1,2.451,9.17,,
T,49.18755,16.60965,201.6,-1.2,2.458,6.77,,
T,49.18753,16.60961,201.6,0.1,2.462,3.67,,
T,49.18748,16.60956,201.4,-2.7,2.468,6.65,,
T,49.1862,16.60883,200.7,-0.4,2.62,151.97,,
T,49.18502,16.60819,200,-0.5,2.76,139.28,,
T,49.18498,16.60817,200.2,4.7,2.764,4.68,,
T,49.18494,16.60816,200.5,4.8,2.769,4.51,,
T,49.18485,16.60813,201,5.3,2.779,10.25,,
T,49.18471,16.60811,201.6,3.9,2.795,15.64,,
T,49.18444,16.60814,201.7,0.2,2.825,30.11,,
T,49.18401,16.60824,199.4,-4.6,2.873,48.37,,
T,49.18395,16.6082,199.2,-3,2.88,7.28,,
T,49.18395,16.6082,199.2,,2.88,0,,
T,49.18383,16.60807,198.6,-3.9,2.897,16.37,,
T,49.18377,16.60797,198.3,-3,2.907,9.88,,
T,49.18373,16.60786,198.3,-0.2,2.916,9.17,,
T,49.18369,16.60766,198.7,2.9,2.931,15.24,,
T,49.18379,16.60742,199.7,5,2.952,20.73,,
T,49.18384,16.60727,200,1.8,2.964,12.27,,
T,49.18385,16.60718,200,0.5,2.971,6.65,,
T,49.18386,16.60709,200,0,2.977,6.65,,
T,49.18386,16.6069,200,0,2.991,13.85,,
T,49.18382,16.60678,200,0,3.001,9.81,,
T,49.18372,16.60657,200,0,3.02,18.92,,
T,49.1837,16.60653,200,0,3.024,3.67,,
T,49.18368,16.60647,200,0,3.029,4.91,,
T,49.18366,16.60643,200,0,3.032,3.67,,
T,49.18365,16.60639,200,0,3.035,3.12,,
T,49.18364,16.60618,200,0,3.051,15.35,,
T,49.18364,16.60616,200,0,3.052,1.46,,
T,49.18365,16.6058,201.1,4.3,3.078,26.27,,
T,49.18365,16.6056,202,5.6,3.093,14.58,,
T,49.18367,16.60509,202.2,0.7,3.13,37.25,,
T,49.18368,16.60493,202,-1.8,3.142,11.72,,
T,49.18372,16.60461,201.6,-1.5,3.166,23.75,,
T,49.18372,16.60461,201.6,,3.166,0,,
T,49.18373,16.60452,201.8,3.1,3.172,6.65,,
T,49.18374,16.60449,201.9,2.8,3.175,2.45,,
T,49.1837,16.60447,201.9,0.5,3.18,4.68,,
T,49.18366,16.60445,202,1,3.184,4.68,,
