type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,51.22774,6.77346,34.4,,0,,"Düsseldorf, Germany - Cologne, Germany","44.8 km, 0:45"
T,51.22766,6.77348,34.3,-1,0.009,9.01,,
T,51.22757,6.77352,34.2,-1.3,0.019,10.4,,
T,51.22742,6.77359,34.3,0.6,0.037,17.39,,
T,51.22742,6.77359,34.3,,0.037,0,,
T,51.22749,6.77385,34,-1.2,0.057,19.76,,
T,51.22757,6.77416,35,4,0.08,23.41,,
T,51.22762,6.77437,35,0.1,0.096,15.69,,
T,51.22769,6.77464,35,0,0.116,20.41,,
T,51.22774,6.77485,35,0,0.132,15.69,,
T,51.22778,6.77501,35,-0.1,0.144,12.03,,
T,51.22781,6.77518,34.9,-0.9,0.156,12.34,,
T,51.22782,6.77537,34.9,0.5,0.169,13.32,,
T,51.22782,6.77537,34.9,,0.169,0,,
T,51.22783,6.77559,35.3,2.2,0.185,15.41,,
T,51.22784,6.77617,36,1.8,0.225,40.53,,
T,51.22784,6.77645,36.2,1.1,0.245,19.56,,
T,51.22784,6.77673,37,4,0.264,19.56,,
T,51.22785,6.77685,37,0,0.273,8.46,,
T,51.22785,6.77685,37,,0.273,0,,
T,51.22785,6.77709,37,0,0.29,16.76,,
T,51.22799,6.77709,37,0,0.305,15.58,,
T,51.22804,6.77709,37,0,0.311,5.56,,
T,51.22844,6.77711,37,0,0.355,44.52,,
T,51.22877,6.77713,37.2,0.5,0.392,36.74,,
T,51.22899,6.77714,37.3,0.4,0.417,24.49,,
T,51.2292,6.77715,37.3,0.2,0.44,23.37,,
T,51.22932,6.77716,37.7,2.3,0.453,13.37,,
T,51.22932,6.77717,37.6,-2.3,0.454,0.7,,
T,51.22949,6.77718,38,1.9,0.473,18.93,,
T,51.2296,6.7772,38,0,0.485,12.32,,
T,51.22968,6.77723,38,-0.1,0.494,9.14,,
T,51.22976,6.77726,38,0.1,0.504,9.14,,
T,51.22976,6.77726,38,,0.504,0,,
T,51.22983,6.77729,38,0,0.512,8.06,,
T,51.22989,6.7773,38,0,0.518,6.71,,
T,51.22996,6.77731,38,0,0.526,7.82,,
T,51.23012,6.77731,37.6,-2.4,0.544,17.8,,
T,51.23027,6.77731,37,-3.2,0.561,16.69,,
T,51.23042,6.77729,37.4,2.1,0.577,16.75,,
T,51.23053,6.77725,37.8,3.4,0.59,12.55,,
T,51.23061,6.7772,37.8,-0.1,0.6,9.56,,
T,51.23073,6.77712,37.6,-1.5,0.614,14.47,,
T,51.23082,6.77705,37.9,2.9,0.625,11.14,,
T,51.2309,6.77696,37.7,-1.5,0.636,10.9,,
T,51.23095,6.77691,37.6,-2.8,0.643,6.57,,
T,51.23107,6.77678,37.6,0,0.659,16.15,,
T,51.23113,6.77669,37.8,3.1,0.668,9.17,,
T,51.23132,6.77642,37.7,-0.5,0.696,28.33,,
