type,latitude,longitude,altitude (m),course,distance (km),distance_interval (m),name,desc
T,51.42314,5.46229,18.1,,0,,Eindhoven - Amsterdam,"123 km, 1:27"
T,51.42325,5.4621,18.1,312.9,0.018,18.01,,
T,51.42337,5.4619,18.1,313.9,0.037,19.28,,
T,51.42354,5.4616,18.4,312.3,0.065,28.16,,
T,51.42371,5.4613,18.9,312.3,0.094,28.16,,
T,51.42371,5.4613,18.9,312.3,0.094,0,,
T,51.42387,5.4616,18.2,49.5,0.121,27.43,,
T,51.42402,5.46179,18.2,38.3,0.142,21.29,,
T,51.42426,5.46199,18,27.5,0.172,30.11,,
T,51.42449,5.46219,18,28.5,0.202,29.13,,
T,51.42469,5.46236,18,27.9,0.227,25.2,,
T,51.42488,5.46253,18,29.2,0.251,24.22,,
T,51.42496,5.46259,18,25.1,0.261,9.83,,
T,51.4253,5.46285,18,25.5,0.303,41.93,,
T,51.42557,5.463,18,19.1,0.335,31.8,,
T,51.42577,5.46306,18,10.6,0.357,22.64,,
T,51.42597,5.46312,18,10.6,0.38,22.64,,
T,51.42641,5.46326,18,11.2,0.43,49.91,,
T,51.42686,5.46339,18.7,10.2,0.481,50.88,,
T,51.42708,5.46354,18.9,23,0.507,26.61,,
T,51.42709,5.46355,18.9,31.9,0.509,1.31,,
T,51.42721,5.46368,19,34,0.525,16.12,,
T,51.42745,5.46392,19,31.9,0.556,31.49,,
T,51.42751,5.46399,19,36,0.564,8.26,,
T,51.42751,5.46399,19,36,0.564,0,,
T,51.42762,5.46411,19,34.2,0.579,14.81,,
T,51.4277,5.46383,18.8,294.6,0.601,21.41,,
T,51.42776,5.46362,18.1,294.6,0.617,16.06,,
T,51.42791,5.46311,18.1,295.3,0.656,39.2,,
T,51.42799,5.46284,18,295.4,0.677,20.78,,
T,51.42801,5.46277,18,294.6,0.682,5.35,,
T,51.42817,5.46225,18,296.3,0.722,40.31,,
T,51.42825,5.46197,18,294.6,0.744,21.41,,
T,51.42829,5.46186,18,300.3,0.753,8.85,,
T,51.42832,5.46176,18,295.7,0.76,7.71,,
T,51.42836,5.46167,18,305.5,0.768,7.68,,
T,51.42839,5.46161,18,308.7,0.773,5.34,,
T,51.42842,5.46156,17.9,313.9,0.778,4.82,,
T,51.42848,5.46146,17.6,313.9,0.788,9.64,,
T,51.42855,5.46136,17.2,318.3,0.798,10.44,,
T,51.42868,5.46121,17,324.3,0.816,17.83,,
T,51.42868,5.46121,17,324.3,0.816,0,,
T,51.42869,5.46121,17,0,0.817,1.11,,
T,51.4287,5.4612,17,328.1,0.818,1.31,,
T,51.42872,5.4612,17,0,0.821,2.23,,
T,51.42873,5.4612,17,0,0.822,1.11,,
T,51.42874,5.46119,17,328.1,0.823,1.31,,
T,51.42875,5.46119,17,0,0.824,1.11,,
T,51.42876,5.46118,17,328.1,0.826,1.31,,
T,51.42878,5.46117,17,342.7,0.828,2.33,,
