type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.37587,9.73201,50.9,,0,,"Hanover, Germany - Utrecht","355 km, 3:47"
T,52.37594,9.73205,50.8,-1.7,0.008,8.25,,
T,52.37594,9.73205,50.8,,0.008,0,,
T,52.37595,9.73206,50.8,-0.5,0.01,1.3,,
T,52.3761,9.73213,50.7,-0.4,0.027,17.36,,
T,52.37624,9.73217,50.4,-1.6,0.043,15.81,,
T,52.37628,9.73219,50.3,-1.9,0.047,4.65,,
T,52.37634,9.73222,50.2,-2.5,0.054,6.98,,
T,52.37648,9.73227,50.1,-0.4,0.07,15.95,,
T,52.37654,9.73228,50.1,-0.3,0.077,6.71,,
T,52.3766,9.7323,50.1,-0.4,0.084,6.81,,
T,52.37663,9.73227,50,-1.1,0.088,3.91,,
T,52.37674,9.73223,50,-0.2,0.1,12.54,,
T,52.37677,9.73219,50,0,0.105,4.31,,
T,52.3768,9.73215,50,0,0.109,4.31,,
T,52.37686,9.73211,50,0,0.116,7.21,,
T,52.37695,9.73205,50,0,0.127,10.82,,
T,52.37709,9.73198,50,0,0.143,16.29,,
T,52.37731,9.73193,50,0,0.168,24.72,,
T,52.37733,9.73192,50,0,0.17,2.33,,
T,52.37746,9.73189,50,0,0.185,14.61,,
T,52.37754,9.73188,50,0,0.194,8.93,,
T,52.37768,9.73185,50,0,0.21,15.71,,
T,52.37775,9.73183,50,0,0.217,7.91,,
T,52.37776,9.73182,50,0,0.219,1.3,,
T,52.37784,9.73179,50,0,0.228,9.13,,
T,52.37793,9.73174,50,0,0.238,10.58,,
T,52.37802,9.73167,50,0,0.25,11.09,,
T,52.37809,9.73159,50,0,0.259,9.51,,
T,52.37815,9.73152,50,0,0.267,8.2,,
T,52.37823,9.73141,50,0,0.279,11.63,,
T,52.37847,9.73105,50,0,0.315,36.25,,
T,52.37858,9.73094,50,0,0.329,14.35,,
T,52.37858,9.73094,50,,0.329,0,,
T,52.37866,9.73089,50,0,0.339,9.53,,
T,52.37849,9.73036,50,0,0.38,40.75,,
T,52.37838,9.73001,50,0,0.407,26.79,,
T,52.37831,9.72981,50,0,0.422,15.69,,
T,52.37823,9.72953,50,0,0.443,21.04,,
T,52.37817,9.72932,50,0,0.459,15.78,,
T,52.3781,9.72917,50,0,0.472,12.85,,
T,52.37801,9.72883,50,0,0.497,25.23,,
T,52.37796,9.72864,50,0,0.511,14.08,,
T,52.37793,9.72858,50,0,0.516,5.28,,
T,52.37787,9.72838,50,0,0.532,15.17,,
T,52.37785,9.72832,50,0,0.536,4.65,,
T,52.37782,9.7282,50,0,0.545,8.83,,
T,52.37775,9.72793,50,0,0.565,19.97,,
T,52.37765,9.72756,50,0,0.593,27.54,,
T,52.37762,9.72746,50,0,0.6,7.58,,
T,52.37748,9.72697,50,0,0.637,36.83,,
T,52.37746,9.72693,50,0,0.641,3.52,,
T,52.37737,9.7266,50,0,0.665,24.6,,
T,52.37729,9.72633,50,0,0.686,20.43,,
T,52.37722,9.72609,50,0,0.704,18.11,,
T,52.37716,9.7259,50,0,0.718,14.56,,
T,52.37709,9.72568,50,0,0.735,16.89,,
T,52.37693,9.72523,50,0,0.771,35.44,,
T,52.37693,9.72523,50,,0.771,0,,
T,52.37702,9.72511,50,0,0.784,12.93,,
T,52.37709,9.725,50,0,0.794,10.81,,
T,52.37716,9.72487,50,0,0.806,11.79,,
T,52.37725,9.72472,50,0,0.82,14.31,,
T,52.37735,9.72453,50,0,0.838,17.07,,
T,52.37746,9.72434,50,0,0.855,17.81,,
T,52.3776,9.72409,50,0,0.878,23.08,,
T,52.37768,9.72394,50,0,0.892,13.55,,
T,52.37776,9.72381,50,0,0.904,12.55,,
T,52.37784,9.72367,50,0,0.918,13.04,,
T,52.37785,9.72363,50,0,0.92,2.94,,
T,52.37795,9.72344,50,0,0.938,17.07,,
T,52.37795,9.72344,50,,0.938,0,,
T,52.37804,9.72331,50,0,0.951,13.37,,
T,52.37806,9.72326,50,0,0.955,4.07,,
