type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,52.12053,11.6273,52,,0,,"Magdeburg, Germany - Hannover, Germany","155 km, 1:44"
T,52.12039,11.62645,51.5,-0.8,0.06,60.27,,
T,52.12006,11.62484,51,-0.5,0.176,116.23,,
T,52.12001,11.62455,50.2,-3.9,0.197,20.63,,
T,52.11999,11.62446,50.2,0,0.204,6.55,,
T,52.11994,11.62416,50.2,0.2,0.225,21.29,,
T,52.11976,11.62324,50,-0.2,0.291,66.12,,
T,52.11976,11.62324,50,,0.291,0,,
T,52.11963,11.62268,52.5,6.1,0.332,40.99,,
T,52.11957,11.62242,52,-2.7,0.351,19.02,,
T,52.11947,11.62203,50.9,-3.9,0.38,28.94,,
T,52.11944,11.622,51,3.1,0.384,3.92,,
T,52.11941,11.62198,51.1,3,0.388,3.61,,
T,52.11936,11.62188,51.5,3.9,0.396,8.82,,
T,52.11911,11.62143,52.2,1.8,0.438,41.52,,
T,52.11898,11.62125,52.5,1.6,0.457,19.01,,
T,52.11865,11.62066,52.1,-0.8,0.512,54.6,,
T,52.11865,11.62066,52.1,,0.512,0,,
T,52.11833,11.62009,53,1.7,0.564,52.84,,
T,52.11817,11.6198,53,0,0.591,26.67,,
T,52.11814,11.61972,53,0,0.597,6.42,,
T,52.1181,11.61964,53,0,0.605,7.06,,
T,52.11799,11.61926,53,0,0.633,28.76,,
T,52.11794,11.61912,53,0,0.644,11.09,,
T,52.11785,11.61883,53,0,0.667,22.25,,
T,52.11782,11.61875,53,0,0.673,6.42,,
T,52.11774,11.61845,53.1,0.4,0.695,22.39,,
T,52.11761,11.61804,53,-0.3,0.727,31.59,,
T,52.11731,11.61709,53.5,0.7,0.8,73.14,,
T,52.11688,11.61577,53.2,-0.3,0.902,102.3,,
T,52.11688,11.61577,53.2,,0.902,0,,
T,52.1169,11.61566,53.2,-0.9,0.91,7.86,,
T,52.11692,11.61551,53.2,0.7,0.921,10.51,,
T,52.11693,11.61546,53.4,3.9,0.924,3.6,,
T,52.11694,11.61542,53.5,4,0.927,2.96,,
T,52.11698,11.61534,53.9,5.4,0.934,7.06,,
T,52.11701,11.61532,54,4.8,0.938,3.61,,
T,52.11708,11.6153,54.4,4.1,0.946,7.91,,
T,52.11717,11.61528,54.8,4.2,0.956,10.11,,
T,52.11726,11.61526,55.6,7.7,0.966,10.11,,
T,52.11756,11.61521,57.7,6.4,1,33.56,,
T,52.11773,11.61519,57.9,1.1,1.019,18.97,,
T,52.11786,11.61519,58.2,2,1.033,14.47,,
T,52.11787,11.61519,58.3,3.2,1.034,1.11,,
T,52.11811,11.6152,58.2,-0.3,1.061,26.71,,
