type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,50.88324,6.59715,92,,0,,"Manheim, Kerpen, Germany - Brussels, Belgium","184 km, 2:02"
T,50.88321,6.59711,92,0,0.004,4.37,,
T,50.88316,6.59704,92,0,0.012,7.43,,
T,50.88315,6.59703,92,0,0.013,1.32,,
T,50.88308,6.59695,92,0,0.023,9.61,,
T,50.88303,6.59689,91.8,-2.8,0.03,6.98,,
T,50.88275,6.59673,91.2,-1.8,0.063,33.12,,
T,50.88275,6.59673,91.2,,0.063,0,,
T,50.88257,6.59725,91.3,0.1,0.105,41.72,,
T,50.88247,6.59751,90.9,-1.7,0.126,21.41,,
T,50.8823,6.59811,90.3,-1.3,0.172,46.27,,
T,50.88223,6.59836,90,-1.3,0.191,19.24,,
T,50.8822,6.59852,90,-0.2,0.203,11.74,,
T,50.88219,6.59857,90,0,0.207,3.69,,
T,50.88214,6.59879,90,0,0.223,16.45,,
T,50.88208,6.59906,89.7,-1.6,0.243,20.14,,
T,50.88188,6.60002,89.7,0,0.315,71.13,,
T,50.88188,6.60002,89.7,,0.315,0,,
T,50.88183,6.60035,89,-3,0.338,23.88,,
T,50.88182,6.60039,89,0,0.342,3.03,,
T,50.88179,6.6006,89,0,0.357,15.15,,
T,50.88177,6.6007,89,0,0.364,7.38,,
T,50.88176,6.60073,89,0,0.366,2.39,,
T,50.8817,6.601,89,0,0.387,20.14,,
T,50.8817,6.601,89,,0.387,0,,
T,50.88165,6.60119,89,0.1,0.401,14.48,,
T,50.88162,6.60128,89.1,1.2,0.408,7.16,,
T,50.88161,6.60131,89.1,1.8,0.411,2.39,,
T,50.88158,6.60141,89.3,2.5,0.418,7.79,,
T,50.88154,6.6015,89.5,1.9,0.426,7.74,,
T,50.88152,6.60155,89.5,0.1,0.43,4.16,,
T,50.88148,6.60164,89.4,-1.7,0.438,7.74,,
T,50.88146,6.60168,89.3,-2.9,0.442,3.59,,
T,50.88143,6.60172,89.1,-2.5,0.446,4.37,,
T,50.88141,6.60176,89.1,-2,0.45,3.59,,
T,50.88138,6.60179,89,-1,0.454,3.95,,
T,50.88135,6.60183,89.1,1.8,0.458,4.37,,
T,50.88132,6.60186,89.2,0.9,0.462,3.95,,
T,50.88129,6.60189,89.1,-0.3,0.466,3.95,,
T,50.88126,6.60191,89.1,-0.7,0.469,3.62,,
T,50.88123,6.60193,89.1,-1.5,0.473,3.62,,
T,50.88119,6.60195,89,-0.8,0.478,4.67,,
T,50.88113,6.60197,89.1,1.1,0.485,6.82,,
T,50.88106,6.60199,89.3,2.9,0.492,7.91,,
T,50.88101,6.60201,89.5,3.4,0.498,5.74,,
T,50.88099,6.60201,89.6,2.5,0.5,2.22,,
T,50.88093,6.60201,89.7,2.5,0.507,6.67,,
T,50.88091,6.60202,89.8,2.8,0.509,2.33,,
T,50.88081,6.60205,90.1,2.2,0.521,11.32,,
T,50.88073,6.60208,90.2,1.5,0.53,9.15,,
T,50.88066,6.60211,90.3,0.8,0.538,8.07,,
T,50.8806,6.60214,90.2,0,0.545,7,,
T,50.88059,6.60215,90.2,-1.6,0.546,1.32,,
T,50.88054,6.60218,90.2,-1.3,0.552,5.95,,
T,50.8805,6.60221,90,-2.2,0.557,4.93,,
T,50.88046,6.60225,90.1,0.4,0.562,5.27,,
T,50.88045,6.60227,90.1,2.3,0.564,1.79,,
T,50.88042,6.60232,90.2,1.5,0.569,4.85,,
T,50.88037,6.60239,90.2,0.3,0.576,7.43,,
T,50.88034,6.60245,90.2,-0.3,0.582,5.38,,
T,50.88028,6.60256,90.2,0.4,0.592,10.22,,
T,50.88018,6.60273,90.5,1.9,0.608,16.34,,
T,50.8798,6.60344,91,0.7,0.674,65.45,,
T,50.87973,6.60356,91,0,0.685,11.49,,
T,50.87973,6.60356,91,,0.685,0,,
T,50.87962,6.60339,91,0,0.702,17.11,,
T,50.8795,6.60321,91,0,0.721,18.4,,
T,50.87943,6.60311,91,0,0.731,10.5,,
T,50.87922,6.60282,91,0,0.762,31.02,,
T,50.87911,6.60267,91.4,2.7,0.779,16.16,,
T,50.87906,6.6026,91.5,1.3,0.786,7.43,,
T,50.87901,6.60252,91.4,-1.1,0.794,7.91,,
T,50.87895,6.60243,91.4,-0.3,0.803,9.2,,
T,50.8789,6.60235,91.6,1.8,0.811,7.91,,
T,50.87865,6.602,92,1.2,0.848,37.15,,
T,50.8786,6.60192,92,0,0.856,7.91,,
T,50.87837,6.60156,92,0,0.892,36.01,,
T,50.8768,6.59926,93.7,0.7,1.13,238.14,,
T,50.87641,6.59869,94,0.5,1.189,59.09,,
T,50.87611,6.59826,95,2.2,1.234,45.05,,
T,50.87611,6.59826,95,,1.234,0,,
T,50.87584,6.59789,95,0,1.274,39.75,,
T,50.87581,6.59784,95,0.3,1.279,4.85,,
T,50.87576,6.59777,95,0.1,1.286,7.43,,
T,50.87538,6.59722,95.6,1.1,1.344,57.32,,
T,50.87459,6.59608,96.5,0.7,1.463,119,,
T,50.87457,6.59605,96.5,2.3,1.466,3.07,,
T,50.87438,6.59577,96.8,1,1.495,28.9,,
T,50.87435,6.59573,96.8,-1.6,1.499,4.37,,
T,50.87426,6.59561,96.7,-0.2,1.512,13.1,,
T,50.87409,6.5954,97,1.1,1.536,24,,
T,50.87393,6.59519,97,0,1.559,23.14,,
T,50.87391,6.59517,97,0,1.562,2.63,,
T,50.87382,6.59506,97,0,1.575,12.66,,
T,50.87379,6.59503,97,0,1.579,3.95,,
T,50.87369,6.59491,97,0,1.593,13.97,,
T,50.87355,6.59477,97,0,1.611,18.43,,
T,50.87334,6.59457,97,0,1.638,27.28,,
T,50.87325,6.59448,97,0,1.65,11.85,,
T,50.8731,6.59434,97,0,1.669,19.38,,
T,50.87296,6.59422,97,0,1.687,17.72,,
T,50.87287,6.59413,97,0,1.699,11.85,,
T,50.87283,6.59409,97,0,1.704,5.27,,
T,50.87274,6.59399,97,-0.4,1.717,12.24,,
T,50.87269,6.59394,96.9,-0.1,1.723,6.58,,
T,50.87259,6.59382,97,0.4,1.737,13.97,,
T,50.87246,6.59366,97,-0.1,1.755,18.33,,
T,50.87244,6.59364,97,0.1,1.758,2.63,,
T,50.87226,6.59341,97,0.1,1.784,25.75,,
T,50.87216,6.59328,97,0,1.798,14.4,,
T,50.87207,6.59315,97,0,1.812,13.56,,
T,50.872,6.59303,97,0,1.823,11.49,,
T,50.87194,6.59292,97,0,1.833,10.22,,
T,50.87189,6.59283,97,0,1.842,8.43,,
T,50.87182,6.59269,97,0,1.854,12.56,,
T,50.87178,6.59261,97,0,1.862,7.18,,
T,50.87172,6.59249,97,0,1.872,10.77,,
T,50.87164,6.59234,97,0,1.886,13.81,,
T,50.87159,6.59222,97,0,1.896,10.11,,
T,50.87156,6.59215,97,0,1.902,5.95,,
T,50.87144,6.59186,96.9,-0.2,1.927,24.39,,
T,50.87142,6.59179,96.9,-0.1,1.932,5.41,,
T,50.87131,6.59152,97.3,1.5,1.955,22.6,,
T,50.87127,6.59144,97.4,2,1.962,7.18,,
T,50.87121,6.59127,97.4,-0.4,1.976,13.7,,
T,50.87118,6.59118,97.2,-2.5,1.983,7.16,,
T,50.87116,6.5911,97,-3.1,1.989,6.05,,
T,50.8711,6.59093,97,0.3,2.002,13.7,,
T,50.87101,6.59066,97.4,1.5,2.024,21.48,,
T,50.87089,6.59027,97.8,1.3,2.054,30.53,,
T,50.87084,6.59016,97.6,-2.2,2.064,9.53,,
T,50.87078,6.58984,97.2,-1.6,2.088,23.49,,
T,50.87062,6.58936,97.8,1.5,2.126,38.19,,
T,50.87054,6.58915,97.9,1,2.143,17.25,,
T,50.87027,6.58841,98,0.1,2.203,60.13,,
T,50.87,6.58764,98,0,2.265,61.97,,
T,50.86991,6.58737,97.7,-1.5,2.287,21.48,,
T,50.86981,6.58717,97.7,0.3,2.304,17.94,,
T,50.86969,6.58689,98,1.1,2.328,23.81,,
T,50.86967,6.58685,98,0,2.332,3.59,,
T,50.86967,6.58684,98,0,2.333,0.7,,
T,50.86959,6.58659,98,0,2.352,19.72,,
T,50.86957,6.58655,98,0,2.356,3.59,,
T,50.86956,6.5865,98,0,2.36,3.69,,
T,50.86951,6.58633,98,0,2.373,13.2,,
T,50.86948,6.58626,98,0,2.379,5.95,,
T,50.86947,6.58621,98,0,2.382,3.69,,
T,50.86944,6.58611,98,0,2.39,7.79,,
T,50.86921,6.58539,98.9,1.7,2.447,56.78,,
T,50.86916,6.5851,99,0.3,2.468,21.16,,
T,50.86913,6.58496,98.9,-1.1,2.479,10.41,,
T,50.86911,6.58485,98.6,-3.8,2.487,8.06,,
T,50.86906,6.58461,98.4,-1,2.504,17.79,,
