type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.16559,11.50465,512.2,,0,,"Klinikum Dritter Orden, Menzinger Straße, Munich, Germany - Leipheim, Germany","110 km, 1:08"
T,48.1656,11.50461,512.3,3.5,0.003,3.18,,
T,48.16562,11.50457,512.4,2.2,0.007,3.71,,
T,48.16564,11.50455,512.4,0.4,0.01,2.68,,
T,48.16568,11.50452,512.4,-0.6,0.015,4.98,,
T,48.16574,11.50451,512.3,-2.2,0.021,6.71,,
T,48.16584,11.50451,512,-2.1,0.032,11.12,,
T,48.16584,11.50451,512,,0.032,0,,
T,48.16587,11.50405,512.5,1.4,0.067,34.38,,
T,48.16587,11.50402,512.6,4.2,0.069,2.23,,
T,48.16587,11.50398,512.7,4.2,0.072,2.98,,
T,48.16586,11.50393,512.9,3.9,0.076,3.88,,
T,48.16585,11.50388,513,3.5,0.08,3.88,,
T,48.16583,11.50384,513,0,0.083,3.71,,
T,48.16582,11.50379,513,0,0.087,3.88,,
T,48.16582,11.50374,513,0,0.091,3.72,,
T,48.16581,11.5037,513,0,0.094,3.18,,
T,48.16581,11.50367,513,0,0.096,2.23,,
T,48.16581,11.50363,513,0,0.099,2.98,,
T,48.16581,11.50362,513,0,0.1,0.74,,
T,48.16581,11.5036,513,0,0.102,1.49,,
T,48.16582,11.50357,513,0,0.104,2.49,,
T,48.16582,11.50351,513,0,0.109,4.46,,
T,48.16583,11.50345,513,0,0.113,4.6,,
T,48.16585,11.50337,513,0,0.12,6.35,,
T,48.16586,11.5033,513,0,0.125,5.32,,
T,48.16587,11.50321,513,0,0.132,6.79,,
T,48.16588,11.50309,513,0,0.141,9,,
T,48.16588,11.50299,513.2,2.6,0.148,7.44,,
T,48.16589,11.50284,513.6,3.8,0.159,11.21,,
T,48.16589,11.50284,513.6,,0.159,0,,
T,48.1657,11.50282,513.8,1.1,0.181,21.18,,
T,48.16564,11.50281,513.9,0.5,0.187,6.71,,
T,48.16546,11.50279,514,0.4,0.207,20.07,,
T,48.16499,11.50273,514,0.1,0.26,52.45,,
T,48.16476,11.5027,514,0,0.285,25.67,,
T,48.16472,11.50269,514,0,0.29,4.51,,
T,48.16464,11.50268,514,0,0.299,8.93,,
T,48.16463,11.50268,514,0,0.3,1.11,,
T,48.16454,11.50266,514,0,0.31,10.12,,
T,48.16454,11.50266,514,,0.31,0,,
T,48.16455,11.50253,514,0,0.32,9.73,,
T,48.16456,11.50241,514,0,0.329,9,,
T,48.16459,11.50213,514,0,0.35,21.09,,
T,48.16461,11.50187,514,0,0.369,19.47,,
T,48.16468,11.50119,514,0,0.421,51.18,,
T,48.16475,11.50057,514,0,0.467,46.77,,
T,48.16481,11.49999,514,0,0.511,43.66,,
