type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.85637,2.35321,34,,0,,"Paris, France - Tours, France","234 km, 2:47"
T,48.85631,2.35318,34,0,0.007,7.03,,
T,48.85611,2.35306,34,0,0.031,23.92,,
T,48.85597,2.35299,33.8,-1.4,0.047,16.39,,
T,48.8558,2.3529,33.5,-1.3,0.067,20.03,,
T,48.85572,2.35285,33.6,0.6,0.077,9.62,,
T,48.85565,2.35281,33.7,1.6,0.085,8.32,,
T,48.8556,2.35275,33.8,0.8,0.092,7.09,,
T,48.85557,2.35267,33.6,-2.6,0.099,6.75,,
T,48.85556,2.35259,33.3,-4.4,0.105,5.98,,
T,48.85556,2.35251,33,-4.8,0.111,5.87,,
T,48.85557,2.35246,32.9,-4.5,0.115,3.83,,
T,48.85557,2.35242,32.7,-4.6,0.118,2.94,,
T,48.85557,2.35238,32.6,-4.7,0.121,2.94,,
T,48.85556,2.35234,32.4,-5,0.124,3.14,,
T,48.85556,2.3523,32.3,-4.8,0.127,2.94,,
T,48.85555,2.35226,32.1,-5.6,0.13,3.14,,
T,48.85554,2.35221,31.9,-5.7,0.134,3.83,,
T,48.85552,2.35217,31.7,-6.5,0.137,3.68,,
T,48.85552,2.35217,31.7,,0.137,0,,
T,48.85565,2.35181,31,-2.1,0.168,30.11,,
T,48.85579,2.35146,31.7,2.4,0.198,30.03,,
T,48.85591,2.35114,32.8,4,0.225,27.01,,
T,48.85598,2.35095,33.6,4.7,0.241,15.97,,
T,48.85604,2.3508,34.2,5,0.253,12.87,,
T,48.85608,2.3507,34.7,5,0.262,8.58,,
T,48.85608,2.3507,34.7,,0.262,0,,
T,48.85624,2.35079,35,1.8,0.281,18.98,,
T,48.85655,2.35095,35,0,0.317,36.42,,
T,48.85677,2.35107,35,0,0.343,26,,
T,48.85683,2.3511,35,0,0.35,7.03,,
T,48.85683,2.3511,35,,0.35,0,,
T,48.85697,2.35061,35,0,0.39,39.18,,
T,48.85703,2.35029,35,0,0.414,24.41,,
T,48.85718,2.34977,36,2.3,0.456,41.64,,
T,48.8572,2.3497,36,0.4,0.461,5.6,,
T,48.85725,2.34952,36,0,0.476,14.33,,
T,48.85732,2.34925,35.5,-2.1,0.497,21.29,,
T,48.85732,2.34925,35.5,,0.497,0,,
T,48.85722,2.34921,35.1,-3.5,0.508,11.5,,
T,48.85685,2.349,33.1,-4.8,0.552,43.94,,
T,48.85673,2.34893,32.4,-4.8,0.567,14.3,,
T,48.85673,2.34893,32.4,,0.567,0,,
T,48.85652,2.3495,32.6,0.5,0.615,47.91,,
T,48.85637,2.34992,32.6,-0.2,0.65,35.05,,
T,48.85608,2.3507,34.7,3.2,0.715,65.7,,
T,48.85608,2.3507,34.7,,0.715,0,,
T,48.85604,2.3508,34.2,-5,0.724,8.58,,
T,48.85598,2.35095,33.6,-5,0.737,12.87,,
T,48.85591,2.35114,32.8,-4.7,0.753,15.97,,
T,48.85579,2.35146,31.7,-4,0.78,27.01,,
T,48.85565,2.35181,31,-2.4,0.81,30.03,,
T,48.85552,2.35217,31.7,2.1,0.84,30.11,,
T,48.85544,2.35241,32.3,3,0.86,19.73,,
T,48.85537,2.35263,32.8,3,0.878,17.92,,
T,48.85535,2.35269,32.9,2.9,0.882,4.93,,
T,48.8553,2.3528,33.1,1.4,0.892,9.8,,
T,48.85526,2.35283,32.8,-5.2,0.897,4.96,,
T,48.85523,2.35286,32.5,-7.1,0.901,4,,
T,48.85522,2.35287,32.4,-6.8,0.903,1.33,,
T,48.85515,2.35299,32,-4,0.914,11.75,,
T,48.85514,2.35303,32,-0.3,0.917,3.14,,
T,48.85504,2.35329,31.3,-3.1,0.94,22.08,,
T,48.85494,2.35355,31.3,0.3,0.962,22.08,,
T,48.85459,2.35443,32,0.9,1.037,75.4,,
T,48.85439,2.35495,31.4,-1.3,1.081,44.17,,
T,48.85427,2.35525,32.5,4.3,1.107,25.74,,
T,48.85416,2.35554,33.8,5.3,1.131,24.55,,
T,48.85408,2.35575,34.1,1.3,1.149,17.79,,
T,48.85379,2.35657,32.3,-2.6,1.218,68.27,,
T,48.85377,2.35661,32.1,-3.9,1.221,3.68,,
T,48.85351,2.35734,33.9,2.8,1.282,60.88,,
T,48.85333,2.35783,35,2.7,1.323,41.16,,
T,48.85333,2.35783,35,,1.323,0,,
T,48.85324,2.35806,34,-5,1.343,19.62,,
T,48.8532,2.35818,33.6,-4.4,1.353,9.87,,
T,48.8529,2.35897,32,-2.3,1.42,66.89,,
T,48.85288,2.35903,32.1,0.3,1.425,4.93,,
T,48.85285,2.3591,32.1,0.4,1.431,6.13,,
T,48.8528,2.35924,32.1,0.2,1.442,11.68,,
T,48.85278,2.3593,32,-1.8,1.447,4.93,,
T,48.85263,2.35972,31.9,-0.2,1.482,35.05,,
T,48.85259,2.35983,31.9,-0.2,1.492,9.22,,
T,48.85243,2.36028,31.8,-0.4,1.529,37.51,,
T,48.85236,2.36048,32.2,2.8,1.546,16.61,,
T,48.85234,2.3606,32.7,5,1.555,9.08,,
T,48.85229,2.36071,33.2,5.5,1.565,9.8,,
T,48.85225,2.36077,33.6,5.5,1.571,6.26,,
T,48.8522,2.36087,33.9,3.8,1.58,9.21,,
T,48.85217,2.3609,33.8,-2.7,1.584,4,,
T,48.85214,2.36093,33.7,-2.7,1.588,4,,
T,48.85211,2.36096,33.6,-2.7,1.592,4,,
T,48.85208,2.36099,33.5,-2.7,1.596,4,,
T,48.852,2.3611,33.2,-2.4,1.608,12.01,,
T,48.85195,2.36117,33,-2.4,1.616,7.57,,
T,48.8519,2.36124,32.8,-3.5,1.623,7.57,,
T,48.85185,2.36129,32.5,-3.2,1.63,6.66,,
T,48.85179,2.36134,32.3,-2.5,1.637,7.61,,
T,48.85175,2.36137,32.3,-1.9,1.642,4.96,,
T,48.85172,2.36138,32.2,-2.5,1.646,3.42,,
T,48.85168,2.3614,32.1,-1.7,1.651,4.68,,
T,48.8516,2.36142,31.9,-2.1,1.66,9.02,,
T,48.85151,2.36142,31.6,-2.9,1.67,10.01,,
T,48.85129,2.36143,31.3,-1.3,1.694,24.48,,
T,48.85114,2.36143,31.3,0,1.711,16.68,,
T,48.85085,2.36143,31.3,0,1.743,32.25,,
T,48.85085,2.36143,31.3,,1.743,0,,
T,48.85069,2.36144,31.4,0.4,1.761,17.81,,
T,48.85055,2.36144,31.4,0,1.776,15.57,,
T,48.85015,2.36145,31.3,-0.1,1.821,44.49,,
T,48.84984,2.36146,31.3,-0.2,1.855,34.48,,
T,48.84971,2.3615,31.4,1.1,1.87,14.75,,
T,48.84966,2.36152,31.6,2.8,1.876,5.75,,
T,48.84962,2.36154,31.7,3.5,1.88,4.68,,
T,48.84959,2.36156,31.9,4.5,1.884,3.64,,
T,48.84956,2.36157,32,3.6,1.888,3.42,,
T,48.84954,2.36159,32.2,6.2,1.89,2.66,,
T,48.84952,2.36161,32.4,6.6,1.893,2.66,,
T,48.84948,2.36166,32.8,7.8,1.899,5.77,,
T,48.84944,2.36171,33.1,5.2,1.904,5.77,,
T,48.84941,2.36176,33.1,-0.7,1.909,4.96,,
T,48.84937,2.36183,33.1,-0.5,1.916,6.8,,
T,48.84935,2.36186,33,-1.2,1.919,3.13,,
T,48.84926,2.36199,32.8,-1.7,1.933,13.83,,
T,48.84914,2.36216,32.6,-1.2,1.951,18.27,,
T,48.84901,2.36236,32.2,-2,1.972,20.6,,
T,48.84892,2.36251,32.1,0,1.987,14.88,,
T,48.84882,2.36266,32.2,0.5,2.003,15.65,,
T,48.84881,2.36267,32.2,-0.4,2.004,1.33,,
T,48.84877,2.36274,32.4,2.4,2.011,6.8,,
T,48.84829,2.36345,32.2,-0.3,2.085,74.6,,
T,48.84802,2.36385,33.5,3.1,2.127,41.99,,
T,48.84787,2.36406,33.3,-0.8,2.15,22.71,,
T,48.84752,2.36459,34.1,1.5,2.205,55.03,,
T,48.84743,2.36474,34.6,3.4,2.22,14.88,,
T,48.84734,2.36482,34.6,-0.6,2.231,11.6,,
T,48.84723,2.36492,34.5,-0.5,2.246,14.27,,
T,48.84719,2.36498,34.4,-1.3,2.252,6.26,,
T,48.84714,2.365,33.8,-10.2,2.258,5.75,,
T,48.84711,2.36502,33.4,-12.2,2.261,3.64,,
T,48.8471,2.36503,33.2,-10.7,2.263,1.33,,
T,48.84706,2.36508,32.7,-8.9,2.268,5.77,,
T,48.84703,2.3651,32.4,-9.4,2.272,3.64,,
T,48.84701,2.36512,32.2,-7.4,2.275,2.66,,
T,48.84699,2.36514,32,-6.6,2.277,2.66,,
T,48.84693,2.36521,31.6,-4.4,2.286,8.42,,
T,48.8469,2.36524,31.5,-3.2,2.29,4,,
T,48.84684,2.36531,31.4,-1.1,2.298,8.42,,
T,48.84684,2.36531,31.4,,2.298,0,,
T,48.84677,2.36536,31.2,-2.1,2.307,8.61,,
T,48.84661,2.36549,31.3,0.5,2.327,20.19,,
T,48.84648,2.3656,31.8,2.9,2.344,16.56,,
T,48.84639,2.36568,32.3,4.7,2.355,11.6,,
T,48.84637,2.3657,32.5,4.1,2.358,2.66,,
T,48.84618,2.3659,32.7,1.1,2.384,25.73,,
T,48.84596,2.36615,32.1,-2,2.414,30.58,,
T,48.84592,2.3662,32.2,0.6,2.42,5.77,,
T,48.84569,2.36643,32.1,-0.2,2.451,30.65,,
T,48.84563,2.3665,31.9,-2.1,2.459,8.42,,
T,48.84562,2.36652,31.9,0,2.461,1.84,,
T,48.8455,2.36666,31.8,-1,2.478,16.84,,
T,48.84549,2.36668,31.8,4.2,2.48,1.84,,
T,48.84535,2.36688,32.2,1.8,2.501,21.4,,
T,48.84526,2.36697,32,-2.2,2.513,11.99,,
T,48.8452,2.36705,31.8,-1.6,2.522,8.89,,
T,48.84508,2.36723,31.6,-1.2,2.541,18.78,,
T,48.84507,2.36724,31.6,-3.3,2.542,1.33,,
T,48.84469,2.3678,31.9,0.6,2.601,58.95,,
T,48.84456,2.36799,32.4,2.2,2.621,20.09,,
T,48.84438,2.36826,31.5,-3.1,2.649,28.17,,
T,48.84436,2.36829,31.3,-4.2,2.652,3.13,,
T,48.84429,2.36839,31,-3.2,2.663,10.7,,
T,48.84427,2.36845,31,0.1,2.668,4.93,,
T,48.84425,2.36849,31,-0.4,2.672,3.68,,
T,48.84422,2.36855,31,0.3,2.677,5.52,,
T,48.84421,2.36859,31.1,2.5,2.68,3.14,,
T,48.84417,2.36868,31.3,2.1,2.688,7.96,,
T,48.84414,2.36881,31.5,2.6,2.698,10.11,,
T,48.8441,2.369,31.7,1.3,2.713,14.64,,
T,48.8441,2.369,31.7,,2.713,0,,
T,48.84406,2.36918,32,2.3,2.727,13.94,,
T,48.84403,2.36925,32.2,2,2.733,6.13,,
T,48.84403,2.36927,32.2,2.5,2.735,1.47,,
T,48.84398,2.3694,32.3,0.8,2.746,11.04,,
T,48.84393,2.36951,32.3,0.7,2.755,9.8,,
T,48.84387,2.36961,32.6,2.2,2.765,9.92,,
T,48.84364,2.36991,33.7,3.3,2.799,33.75,,
T,48.84342,2.3702,35.4,5.3,2.831,32.43,,
T,48.84329,2.37039,35.4,0.2,2.852,20.09,,
T,48.84328,2.37039,35.3,-11.6,2.853,1.11,,
T,48.84328,2.3704,35.3,0.8,2.853,0.73,,
T,48.84327,2.37041,35.2,-8.9,2.855,1.33,,
T,48.84327,2.37042,35.2,1.1,2.855,0.73,,
T,48.84326,2.37042,35.1,-11.3,2.857,1.11,,
T,48.84316,2.37057,34.1,-6.2,2.872,15.65,,
T,48.84295,2.37086,31.9,-7,2.904,31.6,,
T,48.84282,2.37104,31.1,-4.1,2.923,19.58,,
T,48.84261,2.37132,30.2,-2.7,2.955,31.11,,
T,48.84241,2.37158,31.1,2.8,2.984,29.31,,
T,48.84231,2.37171,31.5,2.9,2.999,14.65,,
T,48.84227,2.37176,31.5,0.6,3.004,5.77,,
T,48.84213,2.37193,31.9,2.1,3.024,19.95,,
T,48.842,2.3721,32.7,3.9,3.043,19.1,,
T,48.84186,2.37228,32.7,0.1,3.064,20.42,,
T,48.84177,2.37239,32.4,-2.5,3.077,12.86,,
T,48.84112,2.37316,32,-0.4,3.168,91.76,,
T,48.84086,2.37346,31.5,-1.4,3.205,36.34,,
T,48.84079,2.37354,31.6,0.8,3.214,9.75,,
T,48.84073,2.37361,31.6,0.4,3.223,8.42,,
T,48.84047,2.3739,31.7,0.3,3.259,35.9,,
T,48.84047,2.3739,31.7,,3.259,0,,
T,48.8402,2.37421,32.2,1.1,3.296,37.67,,
T,48.84004,2.37439,32.8,2.9,3.319,22.16,,
T,48.83975,2.37471,31.2,-4,3.359,39.9,,
T,48.83959,2.37488,30.8,-1.7,3.38,21.73,,
T,48.83955,2.37492,30.7,-3.2,3.386,5.33,,
T,48.83946,2.37503,30.2,-3.4,3.398,12.86,,
T,48.83897,2.37556,30.3,0.2,3.465,66.95,,
T,48.83888,2.37567,30.8,3.7,3.478,12.86,,
T,48.83874,2.37584,31.5,3.6,3.498,19.95,,
T,48.83862,2.37598,32.1,3.4,3.515,16.84,,
T,48.8386,2.37601,32.3,6.4,3.518,3.13,,
T,48.83837,2.37629,33.6,4.2,3.551,32.81,,
T,48.83786,2.3769,33.3,-0.5,3.623,72.26,,
T,48.8378,2.37696,33.1,-2.1,3.631,8,,
T,48.83764,2.37714,33.2,0.3,3.653,22.16,,
T,48.83756,2.37721,33.2,-0.4,3.664,10.27,,
T,48.83725,2.3775,34,2,3.704,40.52,,
T,48.83714,2.37759,33.4,-4.1,3.718,13.9,,
T,48.83703,2.37768,32.6,-6.2,3.732,13.9,,
T,48.83691,2.37783,32.1,-2.6,3.749,17.3,,
T,48.83674,2.37803,32.3,0.9,3.773,23.94,,
T,48.83671,2.37806,32.3,-0.1,3.777,4,,
T,48.83643,2.37842,32.6,0.5,3.818,40.84,,
T,48.83598,2.37898,34.2,2.5,3.883,64.76,,
T,48.83597,2.379,34.3,5.9,3.885,1.84,,
T,48.83587,2.37912,34.8,3.6,3.899,14.19,,
T,48.83583,2.37917,35,3.5,3.905,5.77,,
T,48.83582,2.37919,35.1,5.6,3.906,1.84,,
T,48.83567,2.37938,35.1,-0.1,3.928,21.74,,
T,48.83539,2.37974,33.9,-2.9,3.969,40.84,,
T,48.83522,2.37996,34.3,1.7,3.994,24.86,,
T,48.83498,2.3803,33.9,-1,4.03,36.54,,
T,48.83492,2.38042,34,0.7,4.042,11.05,,
T,48.83483,2.38059,33.6,-2.7,4.058,16,,
T,48.83477,2.3807,33,-5.3,4.068,10.48,,
T,48.83469,2.38083,32.9,-1.2,4.081,13.05,,
T,48.83459,2.38096,33,0.7,4.096,14.65,,
T,48.83439,2.38121,33.2,0.9,4.125,28.84,,
T,48.83436,2.38125,33.3,2.7,4.129,4.44,,
T,48.83432,2.38131,33.6,3.8,4.135,6.26,,
T,48.83425,2.38139,34,4.3,4.145,9.75,,
T,48.83399,2.38173,35.2,3.2,4.183,38.2,,
T,48.83379,2.38198,35.1,-0.3,4.212,28.84,,
T,48.83371,2.38208,34.7,-3.6,4.224,11.53,,
T,48.8337,2.38209,34.7,-5.9,4.225,1.33,,
T,48.83356,2.38226,33.4,-6.3,4.245,19.95,,
T,48.83342,2.38243,32,-7,4.265,19.95,,
T,48.83336,2.3825,31.4,-7.3,4.273,8.42,,
T,48.83305,2.3829,31.4,0.1,4.319,45.29,,
T,48.83287,2.38313,31.8,1.4,4.345,26.19,,
T,48.83259,2.38348,33.2,3.5,4.385,40.37,,
T,48.83244,2.38367,33.4,0.9,4.407,21.74,,
T,48.83226,2.3839,32.1,-4.8,4.433,26.19,,
T,48.83212,2.38408,31.9,-1.2,4.453,20.42,,
T,48.832,2.38424,32.2,1.8,4.471,17.78,,
T,48.83185,2.38444,32.6,1.9,4.493,22.22,,
T,48.83161,2.38474,31.8,-2.4,4.528,34.6,,
T,48.83157,2.38479,31.7,-1.2,4.534,5.77,,
T,48.83145,2.38496,31.9,0.8,4.552,18.27,,
T,48.83144,2.38498,31.9,2.9,4.554,1.84,,
T,48.83132,2.38513,31.9,-0.4,4.571,17.3,,
T,48.83122,2.38526,32,0.6,4.586,14.65,,
T,48.83118,2.38531,32.1,2.7,4.592,5.77,,
T,48.83117,2.38533,32.2,3.9,4.593,1.84,,
T,48.83089,2.38568,33.4,3.1,4.634,40.37,,
T,48.83077,2.38583,34,3.1,4.651,17.3,,
T,48.83075,2.38585,34,0.5,4.654,2.67,,
T,48.83063,2.38601,34,0,4.672,17.78,,
T,48.83045,2.38624,33.4,-2.2,4.698,26.19,,
T,48.83036,2.38637,33.2,-1.2,4.712,13.83,,
T,48.83031,2.38641,33.2,-0.9,4.718,6.29,,
T,48.83002,2.38672,32.5,-1.8,4.757,39.47,,
T,48.83002,2.38672,32.5,,4.757,0,,
T,48.82993,2.38676,32.4,-0.8,4.768,10.43,,
T,48.82991,2.38677,32.4,0,4.77,2.34,,
T,48.82988,2.38678,32.4,-1.1,4.774,3.42,,
T,48.82985,2.3868,32.4,1,4.777,3.65,,
T,48.82976,2.38687,32.6,1.6,4.788,11.25,,
T,48.82961,2.38698,32.5,-0.5,4.807,18.53,,
T,48.82953,2.38703,32.4,-0.6,4.817,9.62,,
T,48.82915,2.38728,33.3,1.8,4.863,46.07,,
T,48.82904,2.38735,33,-2.2,4.876,13.27,,
T,48.82901,2.38738,33,0,4.88,4,,
T,48.82892,2.38746,32.9,-0.6,4.892,11.6,,
T,48.82877,2.38756,32.6,-2,4.91,18.23,,
T,48.82869,2.38763,32.5,-0.7,4.92,10.27,,
T,48.82842,2.38792,32.1,-1,4.957,36.81,,
T,48.82828,2.38808,31.8,-1.8,4.976,19.5,,
T,48.82826,2.3881,31.8,0,4.979,2.67,,
T,48.82819,2.3882,32,2,4.99,10.7,,
T,48.82811,2.38833,32.4,2.8,5.003,13.05,,
T,48.82801,2.3885,32.3,-0.6,5.02,16.72,,
T,48.82794,2.38862,32.2,-0.6,5.031,11.76,,
T,48.8279,2.3887,32.2,0,5.039,7.37,,
T,48.8279,2.3887,32.2,,5.039,0,,
T,48.82785,2.38891,32.5,2,5.055,16.39,,
T,48.82783,2.38895,32.4,-3.9,5.059,3.68,,
T,48.82781,2.38907,32.2,-1.6,5.068,9.09,,
T,48.82779,2.38928,32.1,-1,5.083,15.58,,
T,48.82778,2.38949,32.2,0.7,5.099,15.46,,
T,48.82776,2.38972,33,4.8,5.116,17.03,,
T,48.82775,2.38977,33.2,5.1,5.12,3.84,,
T,48.82772,2.3899,33.8,5.8,5.13,10.11,,
T,48.82766,2.39,34.4,6.6,5.14,9.92,,
T,48.82764,2.39004,34.7,7.8,5.143,3.68,,
T,48.8276,2.39009,35.2,8,5.149,5.77,,
T,48.82756,2.39012,35.6,7.7,5.154,4.96,,
T,48.82753,2.39015,35.9,9,5.158,4,,
T,48.82748,2.39018,36.4,7.6,5.164,5.98,,
T,48.82734,2.39025,37.4,6.1,5.181,16.4,,
T,48.82731,2.39024,37.4,1.1,5.184,3.42,,
T,48.82726,2.39022,37.4,0.6,5.19,5.75,,
T,48.82721,2.39019,37.2,-3.5,5.196,5.98,,
T,48.82716,2.39015,36.4,-13.2,5.202,6.29,,
T,48.82712,2.39011,35.7,-13.5,5.207,5.33,,
T,48.82706,2.39003,34.5,-13.8,5.216,8.89,,
T,48.827,2.38996,33.3,-13.7,5.225,8.42,,
T,48.82694,2.38991,32.3,-13.2,5.232,7.62,,
T,48.82692,2.38985,31.7,-13.1,5.237,4.94,,
T,48.8269,2.38978,30.9,-12.9,5.243,5.6,,
T,48.82667,2.3891,27.8,-5.6,5.299,56.1,,
T,48.82648,2.38854,27.2,-1.3,5.345,46.23,,
T,48.82631,2.38803,28.7,3.5,5.387,41.95,,
T,48.82624,2.38781,30,7.2,5.405,17.93,,
T,48.82619,2.38769,30.7,7.6,5.415,10.42,,
T,48.82616,2.3876,31.3,7.3,5.423,7.4,,
T,48.82608,2.38735,33.4,10.2,5.443,20.4,,
T,48.82599,2.38709,36.3,13.4,5.465,21.56,,
T,48.82593,2.38692,38.1,12.8,5.479,14.15,,
T,48.82586,2.38671,39.6,9,5.496,17.27,,
T,48.8258,2.38656,39.9,1.9,5.509,12.88,,
T,48.8258,2.38654,39.9,0,5.511,1.47,,
T,48.82577,2.38644,39.8,-1.3,5.519,8.07,,
T,48.82571,2.38628,39.3,-3.2,5.532,13.51,,
T,48.82569,2.38621,39.2,-3,5.538,5.6,,
T,48.82564,2.38607,39,-1.9,5.549,11.69,,
T,48.82561,2.38598,38.9,-0.6,5.557,7.4,,
T,48.82555,2.38583,39,0.7,5.57,12.88,,
T,48.82555,2.38582,39,0.1,5.57,0.73,,
T,48.8255,2.38569,39.1,0.9,5.581,11.05,,
T,48.82546,2.3856,39.3,2.3,5.589,7.97,,
T,48.82545,2.38555,39.4,2.4,5.593,3.84,,
T,48.82538,2.3854,39.6,1.9,5.607,13.49,,
T,48.82528,2.38515,40.4,3.8,5.628,21.46,,
T,48.82527,2.38513,40.5,2.2,5.63,1.84,,
T,48.82521,2.385,40.5,0.2,5.642,11.65,,
T,48.82511,2.38479,40.2,-1.4,5.661,19.01,,
T,48.82489,2.38433,37.8,-5.9,5.702,41.71,,
T,48.82488,2.3843,37.6,-7.3,5.705,2.47,,
T,48.82486,2.38426,37.3,-7.8,5.709,3.68,,
T,48.82478,2.38412,36.2,-8.2,5.722,13.6,,
T,48.82476,2.38409,36,-8.1,5.725,3.13,,
T,48.82467,2.38393,35.1,-5.4,5.741,15.43,,
T,48.82453,2.38369,34.5,-2.6,5.764,23.51,,
T,48.82449,2.38363,34.2,-4.5,5.77,6.26,,
T,48.82443,2.38353,34,-2.2,5.78,9.92,,
T,48.82437,2.38344,34,0,5.79,9.39,,
T,48.82429,2.3833,34,0,5.803,13.6,,
T,48.82417,2.3831,34,0,5.823,19.84,,
T,48.82394,2.38272,34,0,5.861,37.85,,
T,48.8238,2.38249,34,0,5.884,22.97,,
T,48.82368,2.38229,34,0,5.904,19.84,,
T,48.82344,2.38188,34,0,5.944,40.23,,
T,48.82332,2.38168,34,0,5.964,19.84,,
T,48.8233,2.38165,34,0,5.967,3.13,,
T,48.82308,2.3813,34,0,6.003,35.48,,
T,48.82306,2.38126,34,0,6.006,3.68,,
T,48.82279,2.38082,34,0,6.05,44.11,,
T,48.82263,2.38054,34,0,6.078,27.19,,
T,48.82239,2.38014,34,0,6.117,39.69,,
T,48.8223,2.38,34,0,6.132,14.35,,
T,48.82208,2.37964,34,0,6.168,36.02,,
T,48.82193,2.37935,34.3,1.3,6.195,27.05,,
T,48.82182,2.37917,35,3.6,6.213,18.01,,
T,48.8217,2.37896,35,0.1,6.233,20.39,,
T,48.82157,2.37873,35,0,6.255,22.23,,
T,48.82145,2.37844,35.6,2.5,6.28,25.13,,
T,48.82131,2.37811,36.8,4.1,6.309,28.8,,
T,48.82125,2.37795,37.4,4.3,6.323,13.51,,
T,48.82119,2.37781,37.9,4.1,6.335,12.26,,
T,48.82109,2.3775,38.9,4.1,6.36,25.34,,
T,48.821,2.37723,40.5,7.3,6.383,22.21,,
T,48.82093,2.37702,42.3,10,6.4,17.27,,
T,48.82072,2.37639,48,11,6.452,51.82,,
T,48.82043,2.37551,53.2,7.2,6.524,72.22,,
T,48.82022,2.37488,57.6,8.6,6.576,51.82,,
T,48.82016,2.3747,58.5,5.6,6.591,14.81,,
T,48.81999,2.37416,59,1.2,6.634,43.93,,
T,48.81995,2.37404,58.9,-0.8,6.644,9.87,,
T,48.81988,2.37382,58.3,-3.3,6.662,17.93,,
T,48.81976,2.37346,57.2,-3.7,6.692,29.61,,
T,48.81953,2.37276,61.1,6.7,6.749,57.42,,
T,48.81948,2.37261,61.6,4.4,6.762,12.34,,
T,48.81931,2.37212,61.1,-1.1,6.802,40.65,,
T,48.81914,2.37159,59,-5,6.846,43.27,,
T,48.81907,2.37137,59,0,6.863,17.93,,
T,48.8188,2.37056,61,3,6.93,66.63,,
T,48.81872,2.37031,61,0.1,6.951,20.4,,
T,48.81848,2.36957,58.7,-3.7,7.011,60.54,,
T,48.81844,2.36946,58.4,-3.5,7.02,9.22,,
T,48.81803,2.3682,59,0.5,7.123,103.15,,
T,48.81765,2.36704,56.7,-2.4,7.219,95.09,,
T,48.81741,2.36634,58.9,3.9,7.276,57.92,,
T,48.81738,2.36627,58.8,-2.1,7.283,6.13,,
T,48.81732,2.36609,58.3,-3.5,7.297,14.81,,
T,48.81727,2.36597,57.8,-5.3,7.308,10.42,,
T,48.8172,2.36579,56.9,-5.5,7.323,15.34,,
T,48.81716,2.36572,56.7,-3.3,7.33,6.8,,
T,48.81712,2.36562,56.3,-3.9,7.339,8.59,,
T,48.81702,2.36537,54.9,-6.9,7.36,21.47,,
T,48.8169,2.36511,55.3,2,7.383,23.3,,
T,48.81684,2.36499,56.1,6.5,7.394,11.05,,
T,48.81676,2.3648,57,5.5,7.411,16.55,,
T,48.81666,2.36458,57,0,7.431,19.61,,
T,48.8166,2.36445,56.5,-3.8,7.442,11.65,,
