type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,50.07555,14.43775,251,,0,,"Prague, Czechia - Regensburg, Germany","249 km, 3:20"
T,50.07563,14.43773,251.6,7.5,0.009,9.01,,
T,50.07566,14.43773,252,9.7,0.012,3.34,,
T,50.07569,14.43771,252.2,6.9,0.016,3.63,,
T,50.07573,14.4377,252.6,8.8,0.02,4.51,,
T,50.07575,14.43769,252.8,7.7,0.023,2.34,,
T,50.07585,14.43767,253.8,9,0.034,11.21,,
T,50.07586,14.43751,253.3,-4.1,0.046,11.51,,
T,50.07589,14.43733,253.6,2.2,0.059,13.31,,
T,50.07591,14.4372,253.7,1.4,0.068,9.57,,
T,50.07594,14.43704,253.5,-2.1,0.08,11.93,,
T,50.07602,14.43655,252.3,-3.3,0.117,36.19,,
T,50.07603,14.43652,252.2,-3.8,0.119,2.42,,
T,50.07603,14.4365,252.1,-8.6,0.12,1.43,,
T,50.07604,14.43644,251.8,-6.5,0.125,4.44,,
T,50.07604,14.43638,251.5,-8,0.129,4.29,,
T,50.07603,14.43629,251.2,-4.6,0.136,6.54,,
T,50.07595,14.4357,248.6,-5.9,0.179,43.16,,
T,50.07589,14.43527,247.6,-3.3,0.21,31.5,,
T,50.07589,14.43527,247.6,,0.21,0,,
T,50.0759,14.43512,247.1,-4.5,0.221,10.79,,
T,50.07591,14.43505,246.9,-4.6,0.226,5.13,,
T,50.07592,14.43504,246.8,-5.1,0.228,1.32,,
T,50.07594,14.43494,246.6,-2.3,0.235,7.5,,
T,50.07599,14.43485,246.4,-2.1,0.244,8.51,,
T,50.07606,14.43468,246.2,-1.7,0.258,14.45,,
T,50.07617,14.43441,246,-0.6,0.281,22.87,,
T,50.07628,14.43417,247.4,6.3,0.302,21.09,,
T,50.07659,14.43348,247.9,0.8,0.362,60.24,,
T,50.07677,14.43305,245.8,-5.6,0.399,36.72,,
T,50.07683,14.43289,245.1,-5.4,0.412,13.26,,
T,50.07695,14.43261,244.8,-1.2,0.436,24.08,,
T,50.07697,14.43253,245.5,11.8,0.442,6.14,,
T,50.077,14.43241,246.1,6.6,0.452,9.22,,
T,50.07701,14.43237,246.2,4.1,0.455,3.07,,
T,50.07701,14.43232,246.5,7.7,0.458,3.58,,
T,50.07702,14.43223,246.9,5.4,0.465,6.54,,
T,50.07702,14.43216,246.8,-1.2,0.47,5.01,,
T,50.07702,14.43211,246.7,-2.3,0.473,3.58,,
T,50.07703,14.43204,246.5,-4.1,0.479,5.13,,
T,50.07703,14.43198,246.4,-1.9,0.483,4.29,,
T,50.07704,14.43189,246.2,-3.8,0.489,6.54,,
T,50.07704,14.43185,246.1,-3.3,0.492,2.86,,
T,50.07704,14.43183,246,-3.3,0.494,1.43,,
T,50.07705,14.43172,245.7,-3.8,0.502,7.95,,
T,50.07705,14.43162,245.3,-5.5,0.509,7.16,,
T,50.07707,14.43126,243.5,-7,0.535,25.87,,
T,50.07707,14.4312,243.3,-5,0.539,4.29,,
T,50.07712,14.43042,239.9,-6.1,0.595,56.11,,
T,50.07712,14.43042,239.9,,0.595,0,,
T,50.07712,14.43033,239.3,-10.1,0.601,6.44,,
T,50.07718,14.42924,235.2,-5.3,0.68,78.31,,
T,50.07721,14.42818,234.6,-0.8,0.756,75.95,,
T,50.07722,14.42759,232,-6.1,0.798,42.25,,
T,50.07723,14.42723,228.1,-15,0.824,25.79,,
T,50.07725,14.42656,223.6,-9.4,0.872,48.01,,
T,50.07726,14.42644,223.2,-5,0.88,8.66,,
T,50.07728,14.426,221.8,-4.5,0.912,31.57,,
T,50.07732,14.42476,219.7,-2.4,1.001,88.87,,
T,50.07736,14.42397,221.5,3.2,1.058,56.72,,
T,50.07737,14.4239,221.5,0.7,1.063,5.13,,
T,50.07738,14.4236,220.5,-4.7,1.084,21.5,,
T,50.07744,14.42266,219.1,-2.1,1.152,67.62,,
T,50.07745,14.4225,218.2,-8.2,1.163,11.51,,
T,50.07753,14.42127,210.1,-9.1,1.252,88.49,,
T,50.07753,14.42127,210.1,,1.252,0,,
T,50.07757,14.42078,209.7,-1.2,1.287,35.36,,
T,50.0776,14.42047,209,-3.2,1.31,22.44,,
T,50.07763,14.42025,208,-6,1.326,16.1,,
T,50.07766,14.41952,212.2,8,1.378,52.36,,
T,50.07766,14.41952,212.2,,1.378,0,,
T,50.07715,14.41935,214.1,3.3,1.436,58.02,,
T,50.07708,14.41933,213.9,-2.3,1.444,7.92,,
T,50.07686,14.41927,213.3,-2.3,1.469,24.84,,
T,50.07656,14.41922,213.2,-0.4,1.502,33.56,,
T,50.07644,14.4192,213.7,3.8,1.516,13.42,,
T,50.07637,14.41919,213.9,2.7,1.524,7.82,,
T,50.07623,14.41916,214,0.7,1.539,15.72,,
T,50.07602,14.41912,213.2,-3.6,1.563,23.53,,
T,50.07596,14.4191,212.6,-8.4,1.57,6.83,,
T,50.07596,14.4191,212.6,,1.57,0,,
T,50.07591,14.41903,212.3,-3.8,1.577,7.49,,
T,50.0759,14.41901,212.3,-2,1.579,1.81,,
T,50.07589,14.41897,212.3,1.2,1.582,3.07,,
T,50.07589,14.41894,212.4,5,1.584,2.15,,
T,50.07589,14.41889,212.6,5,1.588,3.58,,
T,50.07589,14.4188,212.8,3,1.594,6.44,,
T,50.07589,14.41877,212.9,3,1.596,2.15,,
T,50.07589,14.41871,213,3,1.601,4.29,,
T,50.0759,14.41855,213.2,1.7,1.612,11.51,,
T,50.07589,14.41826,212.7,-2.4,1.633,20.79,,
T,50.07589,14.41822,212.5,-6,1.636,2.86,,
T,50.07588,14.418,211.6,-5.6,1.652,15.79,,
T,50.07584,14.41728,212,0.6,1.703,51.73,,
T,50.07583,14.41717,212,0.8,1.711,7.95,,
