type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.77585,9.18296,251.3,,0,,"Stuttgart, Germany - Frankfurt am Main, Germany","205 km, 2:28"
T,48.77576,9.18297,252,7.2,0.01,10.04,,
T,48.77564,9.18299,253.1,8.1,0.023,13.43,,
T,48.77564,9.18299,253.1,,0.023,0,,
T,48.77552,9.18314,254.6,8.8,0.041,17.31,,
T,48.77547,9.18322,255.4,9.4,0.049,8.09,,
T,48.77531,9.18353,256.3,3.2,0.078,28.91,,
T,48.77513,9.18388,256.5,0.8,0.11,32.6,,
T,48.77463,9.18491,259.7,3.3,0.204,93.93,,
T,48.77443,9.18529,262.1,6.8,0.24,35.7,,
T,48.77438,9.18538,262.5,4.2,0.249,8.64,,
T,48.77438,9.18538,262.5,,0.249,0,,
T,48.77424,9.18524,263.3,4.7,0.267,18.66,,
T,48.77411,9.18512,263.4,0.6,0.284,16.93,,
T,48.77392,9.18495,262.6,-3.2,0.309,24.55,,
T,48.77339,9.18444,259.2,-5,0.379,69.85,,
T,48.77297,9.18405,255.5,-6.7,0.433,54.8,,
T,48.77297,9.18405,255.5,,0.433,0,,
T,48.77303,9.18391,254.4,-9.4,0.446,12.26,,
T,48.77306,9.18384,254.2,-2.4,0.452,6.13,,
T,48.77307,9.18377,254.5,5.4,0.457,5.26,,
T,48.77308,9.18367,254.8,4.5,0.465,7.43,,
T,48.77307,9.18353,255.3,4.2,0.475,10.35,,
T,48.77302,9.18338,256.2,7.7,0.487,12.35,,
T,48.77293,9.18314,256.7,2.5,0.508,20.28,,
T,48.77285,9.1829,255.2,-7.7,0.527,19.76,,
T,48.7728,9.18277,253.9,-11.7,0.538,11.06,,
T,48.77272,9.18257,251.9,-11.7,0.556,17.18,,
T,48.77247,9.1819,252.7,1.4,0.612,56.55,,
T,48.77236,9.18163,255.1,10.6,0.635,23.31,,
T,48.77236,9.18163,255.1,,0.635,0,,
T,48.77252,9.18149,254.3,-4.4,0.656,20.55,,
T,48.77261,9.18142,254.5,1.9,0.667,11.25,,
T,48.77267,9.18134,254.4,-0.9,0.676,8.89,,
T,48.77274,9.18121,254.1,-2,0.688,12.32,,
T,48.77279,9.18112,254,-1.1,0.697,8.64,,
T,48.77285,9.18102,254.3,3,0.707,9.93,,
T,48.7731,9.1806,255.8,3.5,0.749,41.54,,
T,48.7731,9.1806,255.8,,0.749,0,,
T,48.77345,9.18099,252.1,-7.6,0.797,48.34,,
T,48.77351,9.18107,250.8,-15,0.806,8.89,,
T,48.77354,9.1811,250.1,-16.7,0.81,4,,
T,48.77362,9.18115,249.2,-9.9,0.819,9.63,,
T,48.77371,9.18096,250.6,8.3,0.837,17.18,,
T,48.77389,9.18067,252.2,5.4,0.866,29.24,,
T,48.77389,9.18067,252.2,,0.866,0,,
T,48.77428,9.18122,252.3,0.2,0.925,59.29,,
T,48.77428,9.18122,252.3,,0.925,0,,
T,48.77436,9.18127,252.8,4.9,0.935,9.63,,
T,48.77441,9.18132,253.3,7.8,0.941,6.67,,
T,48.77451,9.18142,254,5.3,0.955,13.33,,
T,48.77457,9.18148,254.1,1.5,0.963,8,,
T,48.77462,9.18152,254.3,2.4,0.969,6.29,,
T,48.77462,9.18152,254.3,,0.969,0,,
T,48.77477,9.18174,254.5,0.8,0.992,23.23,,
T,48.77488,9.18194,254,-2.5,1.011,19.12,,
T,48.77496,9.18205,254.3,2.7,1.023,12.02,,
T,48.77507,9.1822,253.9,-2.6,1.04,16.47,,
T,48.77507,9.18221,253.9,6.1,1.041,0.74,,
T,48.7752,9.18237,253.8,-0.7,1.059,18.64,,
T,48.77536,9.18254,254,0.7,1.081,21.74,,
T,48.77544,9.18263,253.5,-4.2,1.092,11.09,,
T,48.77564,9.18282,252.3,-4.6,1.118,26.26,,
T,48.77582,9.18299,251.6,-2.8,1.142,23.6,,
T,48.77598,9.18311,251.6,-0.4,1.162,19.86,,
T,48.77608,9.18319,251.2,-3.2,1.174,12.58,,
T,48.77625,9.18331,249.5,-8,1.195,20.86,,
T,48.7763,9.18335,249,-7.6,1.201,6.29,,
T,48.77644,9.18344,247.9,-6.6,1.218,16.92,,
T,48.77691,9.18375,247.2,-1.3,1.275,57.02,,
T,48.77716,9.18392,248.2,3.4,1.306,30.48,,
T,48.77757,9.18422,249.2,1.9,1.357,50.65,,
T,48.77765,9.18428,249.4,2.2,1.366,9.93,,
T,48.77789,9.18443,249.2,-0.7,1.395,28.88,,
T,48.77798,9.18449,248.4,-7.5,1.406,10.94,,
T,48.77817,9.1846,247,-6,1.429,22.62,,
T,48.7783,9.18475,246.2,-4.4,1.447,18.18,,
T,48.7783,9.18475,246.2,,1.447,0,,
T,48.77881,9.18512,248.5,3.6,1.51,62.9,,
T,48.77904,9.18528,248.1,-1.6,1.538,28.15,,
T,48.7793,9.18545,247.8,-0.9,1.57,31.5,,
T,48.77945,9.18554,248.2,2.4,1.588,17.94,,
T,48.77945,9.18554,248.2,,1.588,0,,
T,48.77946,9.1856,248.1,-1.8,1.592,4.55,,
T,48.77948,9.18563,248.3,5.4,1.595,3.13,,
T,48.77951,9.18566,248.6,6.8,1.599,4,,
T,48.77977,9.18585,250.9,7.2,1.631,32.11,,
T,48.77983,9.18589,250.7,-1.9,1.639,7.29,,
T,48.77989,9.18594,250.5,-2.5,1.646,7.62,,
T,48.78023,9.18614,250,-1.4,1.687,40.57,,
T,48.7805,9.18632,249.4,-1.8,1.72,32.81,,
T,48.78053,9.18633,249.3,-3.3,1.723,3.42,,
T,48.78104,9.18667,247.7,-2.5,1.785,61.98,,
T,48.78114,9.18674,248,2.3,1.797,12.25,,
T,48.7812,9.18678,248.1,1.4,1.805,7.29,,
T,48.7812,9.18678,248.1,,1.805,0,,
T,48.78129,9.18676,248.2,0.8,1.815,10.12,,
T,48.78137,9.18674,248.2,0.3,1.824,9.02,,
T,48.78147,9.18667,248.3,0.5,1.836,12.25,,
T,48.78152,9.18663,248.3,0.6,1.842,6.29,,
T,48.78154,9.18654,248.1,-3.6,1.849,6.98,,
T,48.78158,9.18635,247.5,-3.7,1.864,14.65,,
T,48.78159,9.18629,247.4,-4,1.868,4.55,,
T,48.78162,9.18614,246.9,-3.8,1.88,11.52,,
T,48.78168,9.18588,245.4,-7.7,1.9,20.24,,
T,48.78173,9.18571,244.8,-4.3,1.914,13.67,,
