type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,45.06329,7.66931,243,,0,,"Turin, Italy - Lyon, France","314 km, 3:44"
T,45.06336,7.66911,243,0,0.018,17.57,,
T,45.06366,7.66828,243.9,1.2,0.091,73.38,,
T,45.06387,7.66768,244,0.3,0.144,52.7,,
T,45.06412,7.66696,244.9,1.5,0.207,63.15,,
T,45.06438,7.66625,245,0.1,0.27,62.94,,
T,45.06463,7.66554,246,1.6,0.332,62.44,,
T,45.06488,7.66484,246,0,0.394,61.74,,
T,45.06497,7.66457,246,0,0.417,23.5,,
T,45.06506,7.66435,246,0,0.437,20.01,,
T,45.06539,7.66342,247,1.2,0.519,81.91,,
T,45.06563,7.66273,247,0,0.58,60.53,,
T,45.06574,7.66255,247,0,0.599,18.72,,
T,45.06579,7.66242,247,0,0.61,11.65,,
T,45.06592,7.66207,247.5,1.8,0.641,31.12,,
T,45.06595,7.66202,247.7,3.5,0.647,5.16,,
T,45.066,7.66195,248,3.2,0.654,7.83,,
T,45.06604,7.66192,248.1,2.1,0.659,5.03,,
T,45.06626,7.66178,248.6,1.9,0.686,26.82,,
T,45.06626,7.66178,248.6,,0.686,0,,
T,45.06635,7.6618,248.5,-0.7,0.696,10.13,,
T,45.06639,7.66181,248.5,-0.8,0.701,4.51,,
T,45.06652,7.6619,248.2,-2,0.717,16.09,,
T,45.06693,7.66219,248,-0.3,0.768,50.97,,
T,45.06758,7.66264,247.6,-0.4,0.848,80.46,,
T,45.06759,7.66264,247.7,1.6,0.849,1.11,,
T,45.06807,7.66298,247.3,-0.7,0.909,59.69,,
T,45.06825,7.6631,247,-1.4,0.931,22.12,,
T,45.06838,7.6632,246.7,-1.8,0.948,16.45,,
T,45.06851,7.6633,244.8,-11.5,0.964,16.45,,
T,45.06851,7.6633,244.8,,0.964,0,,
T,45.06859,7.66308,246.7,9.8,0.984,19.47,,
T,45.06866,7.66291,247,2.1,0.999,15.48,,
T,45.06875,7.66269,246.8,-0.8,1.019,20.01,,
T,45.06913,7.6616,248,1.2,1.115,95.67,,
T,45.06926,7.66125,248,0,1.146,31.12,,
T,45.06929,7.66117,248,0,1.153,7.13,,
T,45.06945,7.66074,248.3,0.9,1.191,38.25,,
T,45.06977,7.65984,249,0.8,1.271,79.3,,
T,45.06992,7.6594,249.1,0.3,1.309,38.45,,
T,45.07032,7.65827,250.2,1.1,1.409,99.47,,
T,45.07067,7.6573,251,0.9,1.494,85.72,,
T,45.07123,7.65575,252.8,1.3,1.631,137.01,,
T,45.07123,7.65575,252.8,,1.631,0,,
T,45.07126,7.65575,252.9,1,1.635,3.33,,
T,45.0718,7.65585,253,0.2,1.695,60.53,,
T,45.07195,7.65587,253,0.2,1.712,16.74,,
T,45.07285,7.65602,253,0,1.813,100.71,,
T,45.07285,7.65602,253,,1.813,0,,
T,45.07293,7.65605,253,0,1.822,9.2,,
T,45.073,7.65584,253,0,1.84,18.28,,
T,45.07467,7.65612,253,0,2.027,186.9,,
T,45.07472,7.65612,253,0,2.033,5.56,,
T,45.07509,7.65619,253,0,2.074,41.49,,
T,45.07547,7.65629,253,0,2.117,42.96,,
T,45.07561,7.65632,253,0,2.133,15.74,,
T,45.07568,7.65633,253,0,2.141,7.82,,
T,45.07585,7.65638,253.1,0.3,2.16,19.3,,
T,45.07585,7.65638,253.1,,2.16,0,,
T,45.07585,7.65639,253.1,0,2.161,0.79,,
T,45.07585,7.6564,253.1,-0.3,2.161,0.79,,
T,45.07585,7.65641,253.1,-0.4,2.162,0.79,,
T,45.07585,7.65643,253.1,-0.3,2.164,1.57,,
T,45.07585,7.65644,253,-0.3,2.165,0.79,,
T,45.07586,7.65645,253.1,1.9,2.166,1.36,,
T,45.07586,7.65646,253.1,-0.5,2.167,0.79,,
T,45.07587,7.65646,253.1,2.4,2.168,1.11,,
T,45.07587,7.65647,253.1,-0.6,2.169,0.79,,
T,45.07588,7.65648,253.1,1.5,2.17,1.36,,
T,45.07588,7.65649,253.1,-0.8,2.171,0.79,,
T,45.07589,7.6565,253.1,1.1,2.172,1.36,,
T,45.0759,7.65652,253.1,0.3,2.174,1.93,,
T,45.07591,7.65653,253.1,0.7,2.175,1.36,,
T,45.07592,7.65654,253.1,0.4,2.177,1.36,,
T,45.07594,7.65655,253.2,0.8,2.179,2.36,,
T,45.07595,7.65656,253.2,0,2.18,1.36,,
T,45.07596,7.65657,253.2,-0.1,2.182,1.36,,
T,45.07597,7.65658,253.2,-0.4,2.183,1.36,,
T,45.07598,7.65658,253.2,1,2.184,1.11,,
T,45.07599,7.65659,253.2,-0.7,2.186,1.36,,
T,45.076,7.65659,253.2,0.9,2.187,1.11,,
T,45.07601,7.6566,253.2,-1,2.188,1.36,,
T,45.07602,7.6566,253.2,0.7,2.189,1.11,,
T,45.07603,7.6566,253.2,0.8,2.19,1.11,,
T,45.07604,7.6566,253.2,0.8,2.191,1.11,,
T,45.07605,7.6566,253.2,0.7,2.193,1.11,,
T,45.07606,7.6566,253.2,0.8,2.194,1.11,,
T,45.07607,7.65659,253.2,2.9,2.195,1.36,,
T,45.07608,7.65659,253.2,0.9,2.196,1.11,,
T,45.07609,7.65659,253.3,0.9,2.197,1.11,,
T,45.0761,7.65659,253.3,0.9,2.198,1.11,,
T,45.07611,7.65658,253.3,3.4,2.2,1.36,,
T,45.07612,7.65658,253.3,-0.8,2.201,1.11,,
T,45.07613,7.65658,253.3,-1,2.202,1.11,,
T,45.07617,7.65655,253.3,0.8,2.207,5.03,,
T,45.07619,7.65653,253.4,0.8,2.21,2.72,,
T,45.07621,7.65651,253.4,0.4,2.212,2.72,,
T,45.07622,7.65649,253.4,1.2,2.214,1.93,,
T,45.07624,7.65646,253.4,0.4,2.218,3.24,,
T,45.07625,7.65643,253.4,1,2.22,2.61,,
T,45.07625,7.6564,253.5,2.3,2.223,2.36,,
T,45.07626,7.65637,253.5,-0.6,2.225,2.61,,
T,45.07644,7.65635,253,-2.3,2.245,20.07,,
T,45.07662,7.65633,253,0,2.265,20.07,,
T,45.0769,7.65628,253,0,2.297,31.37,,
T,45.07729,7.65627,253,0,2.34,43.35,,
T,45.07763,7.65626,253,0,2.378,37.79,,
T,45.07821,7.65625,253,0,2.442,64.46,,
T,45.07879,7.65624,253,0,2.507,64.46,,
T,45.07925,7.65623,253,0,2.558,51.13,,
T,45.0798,7.65615,253,0,2.619,61.45,,
T,45.08051,7.65606,253,0,2.699,79.22,,
T,45.08111,7.65598,253,0,2.766,66.98,,
T,45.08148,7.65593,253,0,2.807,41.31,,
T,45.0821,7.65584,252.4,-0.8,2.876,69.27,,
T,45.08263,7.65576,251.5,-1.5,2.935,59.24,,
T,45.083,7.65572,250.2,-3.2,2.977,41.24,,
T,45.08326,7.65568,250,-0.7,3.006,29.07,,
T,45.08351,7.65565,249.1,-3.1,3.034,27.88,,
T,45.08364,7.65566,248.5,-4.8,3.048,14.47,,
T,45.08375,7.65567,247.8,-5.4,3.06,12.25,,
T,45.08404,7.6557,246.5,-4.1,3.093,32.32,,
T,45.08404,7.6557,246.5,,3.093,0,,
T,45.08401,7.65594,246.3,-0.6,3.112,19.19,,
T,45.08413,7.65598,246.1,-2.1,3.125,13.7,,
T,45.08426,7.65599,245.7,-2.8,3.14,14.47,,
T,45.08444,7.65602,245,-3.2,3.16,20.14,,
T,45.08466,7.65607,244.2,-3.2,3.185,24.76,,
T,45.08563,7.65626,242,-2,3.294,108.83,,
T,45.08563,7.65626,242,,3.294,0,,
T,45.08573,7.65629,242,0,3.305,11.36,,
T,45.08581,7.6563,242,0,3.314,8.93,,
T,45.08586,7.65617,241.9,-0.7,3.326,11.65,,
T,45.0859,7.65605,241.8,-1.6,3.336,10.44,,
T,45.08595,7.65589,241.6,-1.3,3.35,13.77,,
T,45.08617,7.65526,241.8,0.4,3.405,55.3,,
T,45.08624,7.65501,242,0.9,3.426,21.16,,
T,45.08698,7.65276,243,0.5,3.622,195.3,,
T,45.08718,7.65217,243,0,3.673,51.49,,
T,45.0873,7.65179,243,0,3.706,32.75,,
T,45.08736,7.65161,243,0,3.722,15.66,,
T,45.0874,7.65149,243,0,3.732,10.44,,
T,45.08745,7.65134,243,0,3.745,13.05,,
T,45.08761,7.65087,243,0,3.786,41.05,,
T,45.08775,7.65047,243.1,0.3,3.821,35.12,,
T,45.08818,7.64917,244,0.8,3.934,112.95,,
T,45.08829,7.64884,244,0,3.963,28.71,,
T,45.08832,7.64873,244,0,3.972,9.28,,
T,45.08845,7.64835,244,0,4.005,33.22,,
T,45.08851,7.64816,244,0,4.022,16.38,,
T,45.08854,7.64807,244,0,4.03,7.83,,
T,45.08873,7.64751,244.4,0.9,4.078,48.88,,
T,45.08913,7.64628,244.7,0.2,4.185,106.55,,
T,45.08922,7.64603,242.1,-11.6,4.207,22.08,,
T,45.08949,7.6452,245.1,4.2,4.279,71.9,,
T,45.08974,7.64453,245.1,-0.1,4.339,59.61,,
T,45.08992,7.64405,245.8,1.8,4.381,42.76,,
T,45.09001,7.64375,246,0.7,4.407,25.65,,
T,45.09001,7.64374,246,0,4.408,0.79,,
T,45.0901,7.64347,245.7,-1.4,4.431,23.49,,
T,45.09013,7.64336,245.5,-1.7,4.441,9.28,,
T,45.09016,7.64327,245.6,0.7,4.448,7.83,,
T,45.09118,7.64015,246,0.2,4.719,270.51,,
T,45.09124,7.63998,246,0,4.734,14.95,,
T,45.0928,7.63519,248.2,0.5,5.149,415.02,,
T,45.09284,7.63506,248.3,1.2,5.16,11.16,,
T,45.09306,7.63431,248,-0.5,5.224,63.9,,
T,45.09311,7.63418,248.2,1.5,5.236,11.64,,
T,45.0935,7.63304,248.6,0.4,5.335,99.66,,
T,45.09369,7.63252,249.4,1.8,5.381,46.06,,
T,45.09376,7.63233,249.7,1.3,5.398,16.86,,
T,45.09395,7.63181,249.2,-1.1,5.444,46.06,,
T,45.09434,7.63085,250.6,1.7,5.531,87.12,,
T,45.09438,7.63075,250.8,2.4,5.54,9.04,,
T,45.09472,7.62989,253,2.8,5.618,77.53,,
T,45.09482,7.62964,255,8.8,5.64,22.6,,
T,45.0949,7.62942,255.3,1.5,5.66,19.47,,
T,45.09499,7.62919,255.1,-0.9,5.681,20.68,,
T,45.09505,7.62902,256.1,6.5,5.696,14.95,,
T,45.09511,7.62889,257.4,10.6,5.708,12.21,,
T,45.09536,7.62821,258.7,2.1,5.768,60.31,,
T,45.09553,7.62776,258.9,0.6,5.808,40.15,,
T,45.09555,7.62773,259,2.1,5.811,3.24,,
T,45.09582,7.62703,261,3.1,5.874,62.74,,
T,45.09596,7.62665,262.3,4.1,5.908,33.72,,
T,45.096,7.62656,262.5,1.8,5.916,8.36,,
T,45.09623,7.62594,263.3,1.5,5.971,55.09,,
T,45.09726,7.62343,262.2,-0.5,6.2,228.34,,
T,45.09735,7.62321,259,-15.8,6.22,20,,
T,45.09741,7.62305,257.4,-11.2,6.234,14.25,,
T,45.09744,7.62298,258.4,16.1,6.24,6.44,,
T,45.09748,7.62288,260.5,23.3,6.249,9.04,,
T,45.09757,7.62266,264,17.2,6.269,20,,
T,45.09764,7.62248,265,6.2,6.286,16.16,,
T,45.0977,7.62234,265,0,6.298,12.88,,
T,45.09831,7.62071,266.1,0.7,6.444,145.11,,
T,45.09884,7.61944,267,0.8,6.56,116.03,,
T,45.09926,7.61838,268.4,1.5,6.655,95.6,,
T,45.09943,7.61799,268,-1.1,6.691,36.05,,
T,45.09952,7.61774,269.6,7.2,6.713,22.07,,
T,45.09965,7.61738,271.2,5,6.745,31.81,,
T,45.0998,7.61695,270.3,-2.3,6.783,37.73,,
T,45.0998,7.61694,270.3,5.1,6.784,0.79,,
T,45.09996,7.61654,269.9,-1.1,6.82,36.16,,
T,45.10006,7.6163,269.3,-3.2,6.842,21.92,,
T,45.10023,7.61597,269.7,1.3,6.874,32.12,,
T,45.10037,7.61573,269.8,0.5,6.898,24.47,,
T,45.10048,7.61556,270,1.1,6.916,18.12,,
T,45.10054,7.61546,270,0.3,6.927,10.32,,
T,45.10067,7.61529,269.6,-2.2,6.946,19.69,,
