type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.2084,16.37484,171.8,,0,,"Vienna, Austria - Graz, Austria","199 km, 2:14"
T,48.2088,16.37522,171,-1.4,0.053,52.69,,
T,48.2088,16.37522,171,,0.053,0,,
T,48.20873,16.37537,170.8,-1.4,0.066,13.6,,
T,48.2086,16.37571,170,-2.6,0.095,29.11,,
T,48.20852,16.37594,170.2,0.8,0.115,19.27,,
T,48.20845,16.37611,170,-1.3,0.13,14.84,,
T,48.20836,16.37637,169.2,-3.9,0.151,21.76,,
T,48.20824,16.37675,168.7,-1.5,0.183,31.24,,
T,48.2081,16.37721,167.2,-4,0.22,37.57,,
T,48.20803,16.37745,166.9,-1.4,0.24,19.46,,
T,48.208,16.37757,166.8,-1.3,0.249,9.52,,
T,48.20775,16.37842,166,-1.2,0.318,69.02,,
T,48.20771,16.37855,166,0,0.329,10.64,,
T,48.20757,16.37901,166,0,0.366,37.57,,
T,48.20757,16.37901,166,,0.366,0,,
T,48.20751,16.37922,166,0,0.383,16.97,,
T,48.20723,16.38021,166,0,0.463,79.9,,
T,48.20723,16.38021,166,,0.463,0,,
T,48.20721,16.38028,166,0.8,0.469,5.66,,
T,48.20719,16.38036,166.1,1.1,0.475,6.35,,
T,48.20717,16.38042,166.2,1.4,0.48,4.98,,
T,48.20717,16.38048,166.2,0,0.485,4.46,,
T,48.20712,16.38069,166.4,1.1,0.501,16.57,,
T,48.2071,16.38078,166.4,1,0.508,7.05,,
T,48.20699,16.3813,166.3,-0.3,0.549,40.54,,
T,48.20696,16.38148,166,-2.5,0.563,13.79,,
T,48.20689,16.38173,166.2,1.1,0.583,20.15,,
T,48.20684,16.38193,166.4,1.1,0.599,15.87,,
T,48.20678,16.38213,164.2,-13.2,0.615,16.29,,
T,48.20674,16.38226,161.8,-22.4,0.625,10.64,,
T,48.20673,16.3823,161.2,-20,0.629,3.17,,
T,48.2066,16.38277,165.8,12.3,0.666,37.81,,
T,48.2066,16.38277,165.8,,0.666,0,,
T,48.20658,16.38285,166,2.5,0.673,6.35,,
T,48.20664,16.38289,166,0,0.68,7.3,,
T,48.20668,16.38291,165.8,-3.2,0.685,4.69,,
T,48.2067,16.38292,165.6,-8.5,0.687,2.34,,
T,48.20673,16.38292,165.3,-9.5,0.691,3.34,,
T,48.20676,16.38293,165.1,-7.1,0.694,3.42,,
T,48.20706,16.38314,165.4,0.9,0.731,36.83,,
T,48.20758,16.38353,165.5,0.2,0.795,64.68,,
T,48.2076,16.38354,165.4,-4.6,0.798,2.34,,
T,48.20767,16.3837,166,4,0.812,14.21,,
T,48.20769,16.38373,166,0,0.815,3.15,,
T,48.20783,16.38384,166.1,0.3,0.833,17.58,,
T,48.20796,16.38393,166.7,3.8,0.849,15.93,,
T,48.20826,16.38417,167,0.9,0.886,37.83,,
T,48.20858,16.3844,167,0,0.926,39.48,,
T,48.20867,16.38445,167,-0.1,0.937,10.68,,
T,48.20878,16.38451,166.9,-0.6,0.95,13.02,,
T,48.20893,16.38458,166.8,-0.3,0.967,17.47,,
