# VECTO 3.3.10.2401 - 07.10.2022 01:30
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,478.0000,-35.0000,0.0000,30.0336,30.0336,-2.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,508.0000,508.0000,508.0000,508.0000,508.0000,508.0000
2.0000,1.0000,0.5000,1.8000,67.0000,1.0000,0.0000,2,657.2987,341.6998,512.2482,-37.2699,23.4750,35.2872,36.6492,-2.5671,2.2327,21.2423,15.2519,5.9904,0.0000,5.9904,0.4260,0.0000,5.5645,0.0000,,,5.5645,0.1371,5.4274,0.0000,5.4274,0.1654,5.2619,0.0000,0.0011,0.3272,4.9336,48.7765,1089.3275,0.0000,0.0000,5589.6460,5589.6460,5589.6460,5589.6460,5589.6460,5589.6460
3.0000,1.0000,2.0000,5.4000,67.0000,1.0000,-0.0014,2,696.4160,320.8518,491.6602,-38.8196,23.4553,35.8649,41.5071,-2.8326,0.9253,22.5300,5.1081,17.4219,0.0000,17.4219,1.2467,0.0000,16.1752,0.0000,,,16.1752,0.3995,15.7757,0.0000,15.7757,0.4806,15.2950,-0.0028,0.0147,0.9506,14.3325,141.6996,1090.0451,0.0000,0.0000,5426.9931,5426.9931,5426.9931,5426.9931,5426.9931,5426.9931
4.0000,1.0000,4.5000,9.0000,67.0000,1.0000,-0.0410,2,905.5951,444.6375,580.5226,-46.3894,42.1740,55.7570,72.9476,-4.4471,12.7556,29.4184,0.0000,29.4184,0.0000,29.4184,2.2690,0.0000,27.1494,0.0000,,,27.1494,0.6729,26.4765,0.0000,26.4765,0.8083,25.6681,-0.0998,0.0644,1.5987,24.1048,238.3145,1087.9169,0.0000,0.0000,9248.0978,9248.0978,9248.0978,9248.0978,9248.0978,9248.0978
5.0000,1.0000,8.0000,12.6000,67.0000,1.0000,-0.0751,2,1262.7555,446.6409,719.5948,-61.6474,59.0704,95.5367,124.7307,-8.2233,17.7863,41.2841,0.0000,41.2841,0.0000,41.2841,3.4559,0.0000,37.8282,0.0000,,,37.8282,0.9412,36.8871,0.0000,36.8871,1.1271,35.7599,-0.2516,0.1707,2.2293,33.6116,332.3041,1087.0822,0.0000,0.0000,11727.2256,11727.2256,11727.2256,11727.2256,11727.2256,11727.2256
6.0000,1.0000,12.4604,15.6622,67.0000,0.7012,-0.1197,2,1584.8062,308.7369,807.8016,-75.4961,50.2412,134.3130,157.4078,-12.5566,12.5627,37.6785,0.0000,37.6785,0.0000,37.6785,4.1144,0.0000,33.5641,0.0000,,,33.5641,0.9396,32.6245,0.0000,32.6245,0.9725,31.6520,-0.5026,0.3376,2.8171,28.9999,419.9267,782.0807,0.0000,0.0000,10599.5300,10599.5300,10599.5300,10599.5300,10599.5300,10599.5300
7.0000,1.0000,17.1035,16.7221,67.0000,-0.1125,-0.1705,0,1549.8645,-74.1138,698.5163,-74.1138,-12.0493,113.9227,154.4902,-12.0493,-12.0493,0.0000,0.0000,0.0000,0.0000,0.0000,2.2872,0.0000,-2.2872,0.0000,,,-2.2872,0.2973,-2.5845,0.0000,-2.5845,-0.1680,-2.4165,-0.7441,0.3847,2.9537,-5.0108,440.2841,-49.5603,0.0000,0.0000,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
8.0000,1.0000,21.6754,16.8350,67.0000,0.1752,-0.2220,0,1342.8716,11.9922,594.2573,-65.3754,0.4864,83.7956,134.4315,-9.2328,-13.2084,13.6948,0.0000,13.6948,0.0000,13.6948,2.4225,0.0000,11.2723,0.0000,,,11.2723,0.5359,10.7364,0.0000,10.7364,0.2724,10.4640,-0.9619,0.3753,2.9280,8.1227,436.4539,237.6915,0.0000,0.0000,1602.9011,1602.9011,1602.9011,1602.9011,1602.9011,1602.9011
9.0000,1.0000,26.9394,18.9503,67.0000,1.0000,-0.2763,3,1180.0861,508.4283,668.4517,-57.8889,62.6787,82.8286,116.2012,-7.1645,2.6225,60.0562,0.0000,60.0562,0.0000,60.0562,3.9440,0.0000,56.1122,0.0000,,,56.1122,1.4090,54.7032,0.0000,54.7032,1.6925,53.0107,-1.3739,0.5680,3.3473,50.4693,498.9699,1073.9077,0.0000,0.0000,12482.1094,12482.1094,12482.1094,12482.1094,12482.1094,12482.1094
10.0000,1.0000,33.2033,22.5503,67.0000,1.0000,-0.3407,3,1359.4323,583.5865,803.9034,-66.1506,83.0805,114.5142,136.0956,-9.4422,11.5392,71.5413,0.0000,71.5413,0.0000,71.5413,4.8803,0.0000,66.6610,0.0000,,,66.6610,1.6814,64.9796,0.0000,64.9796,2.0136,62.9660,-2.0134,0.9522,3.9824,60.0448,593.6385,1072.3428,0.0000,0.0000,16227.4131,16227.4131,16227.4131,16227.4131,16227.4131,16227.4131
11.0000,1.0000,40.4657,26.1349,67.0000,0.9914,-0.4161,3,1575.9192,579.4223,843.2502,-75.1445,95.5842,139.2782,156.6658,-12.4218,13.2563,82.3279,0.0000,82.3279,0.0000,82.3279,5.8469,0.0000,76.4810,0.0000,,,76.4810,1.9411,74.5400,0.0000,74.5400,2.3132,72.2268,-2.8484,1.4790,4.6166,68.9796,688.1743,1061.7422,0.0000,0.0000,18684.8820,18684.8820,18684.8820,18684.8820,18684.8820,18684.8820
12.0000,1.0000,48.6981,29.6219,67.0000,0.9458,-0.5024,3,1786.4013,554.8479,861.7890,-81.7642,103.7382,161.1843,167.8906,-15.3079,14.3332,89.4049,0.0000,89.4049,0.0000,89.4049,6.7064,0.0000,82.6985,0.0000,,,82.6985,2.1270,80.5715,0.0000,80.5715,2.5011,78.0704,-3.8958,2.1492,5.2332,74.5838,780.0879,1012.9511,0.0000,0.0000,20324.9069,20324.9069,20324.9069,20324.9069,20324.9069,20324.9069
