# VECTO 3.3.10.2401 - 07.10.2022 01:30
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.8925,0,600.0000,0.0000,478.0000,-35.0000,0.0000,30.0336,30.0336,-2.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-84.5349,0.0000,0.0000,508.0000,508.0000,508.0000,508.0000,508.0000,508.0000
2.0000,1.0000,0.5000,1.8000,83.0000,1.0000,-0.8925,2,657.2987,318.0532,511.4426,-37.2699,21.8474,35.2291,36.6492,-2.5671,2.2327,19.6147,14.0833,5.5314,0.0000,5.5314,0.4076,0.0000,5.1238,0.0000,,,5.1238,0.1283,4.9956,0.0000,4.9956,0.1654,4.8301,-0.4318,0.0011,0.3272,4.9336,48.7765,1003.0648,0.0000,0.0000,5167.5139,5167.5139,5167.5139,5167.5139,5167.5139,5167.5139
3.0000,1.0000,2.0000,5.4000,83.0000,1.0000,-0.8927,2,696.4160,297.2348,484.8417,-38.8196,21.7332,35.3670,41.5071,-2.8326,0.9253,20.8079,4.7169,16.0910,0.0000,16.0910,1.1935,0.0000,14.8975,0.0000,,,14.8975,0.3740,14.5235,0.0000,14.5235,0.4806,14.0429,-1.2549,0.0147,0.9506,14.3325,141.6996,1003.8904,0.0000,0.0000,5002.1618,5002.1618,5002.1618,5002.1618,5002.1618,5002.1618
4.0000,1.0000,4.5000,9.0000,83.0000,1.0000,-0.9004,2,905.5951,421.8662,572.2651,-46.3894,40.0168,54.9716,72.9476,-4.4471,12.7556,27.2613,0.0000,27.2613,0.0000,27.2613,2.1827,0.0000,25.0785,0.0000,,,25.0785,0.6315,24.4470,0.0000,24.4470,0.8083,23.6387,-2.1292,0.0644,1.5987,24.1048,238.3145,1004.8474,0.0000,0.0000,8744.4785,8744.4785,8744.4785,8744.4785,8744.4785,8744.4785
5.0000,1.0000,8.0000,12.6000,83.0000,1.0000,-0.9093,2,1262.7555,424.5394,711.8186,-61.6474,56.1510,94.5157,124.7307,-8.2233,17.7863,38.3647,0.0000,38.3647,0.0000,38.3647,3.3391,0.0000,35.0256,0.0000,,,35.0256,0.8852,34.1404,0.0000,34.1404,1.1271,33.0132,-2.9982,0.1707,2.2292,33.6116,332.3041,1006.4558,0.0000,0.0000,11189.5768,11189.5768,11189.5768,11189.5768,11189.5768,11189.5768
6.0000,1.0000,12.4946,16.0083,83.2020,0.8935,-0.9209,2,1604.1828,375.9184,808.9002,-76.1899,62.5813,136.2404,158.2965,-12.8343,18.7156,43.8657,0.0000,43.8657,0.0000,43.8657,4.3945,0.0000,39.4713,0.0000,,,39.4713,1.0416,38.4297,0.0000,38.4297,1.2690,37.1607,-3.8689,0.3474,2.8406,37.8416,423.4479,900.2500,0.0000,0.0000,12669.0596,12669.0596,12669.0596,12669.0596,12669.0596,12669.0596
7.0000,1.0000,17.3641,17.5374,85.0000,-0.0441,-0.9349,0,1638.7659,-77.3425,774.3074,-77.3425,-13.2887,133.4909,161.4499,-13.2887,-13.2887,0.0000,0.0000,0.0000,0.0000,0.0000,2.5520,0.0000,-2.5520,0.0000,,,-2.5520,0.3162,-2.8682,0.0000,-2.8682,-0.0690,-2.7991,-4.2813,0.4435,3.0973,-2.0587,461.7204,-52.7606,0.0000,0.0000,0.5754,0.5754,0.5754,0.5754,0.5754,0.5754
8.0000,1.0000,22.2002,17.5733,85.0000,0.0640,-0.9491,0,1435.3522,-40.1315,617.7689,-69.4315,-6.6012,93.0111,143.6961,-10.4604,-11.8429,5.2417,0.0000,5.2417,0.0000,5.2417,2.3645,0.0000,2.8772,0.0000,,,2.8772,0.4022,2.4750,0.0000,2.4750,0.1064,2.3685,-4.3337,0.4399,3.0880,3.1743,460.3344,55.4901,0.0000,0.0000,631.7768,631.7768,631.7768,631.7768,631.7768,631.7768
9.0000,1.0000,27.6137,19.4886,85.0000,1.0000,-0.9657,3,1237.4363,435.0279,648.2831,-60.6345,56.1215,84.0436,123.8823,-7.8642,-2.0528,58.1743,0.0000,58.1743,0.0000,58.1743,3.9392,0.0000,54.2350,0.0000,,,54.2350,1.3805,52.8545,0.0000,52.8545,1.7428,51.1118,-4.9235,0.6191,3.4467,51.9695,513.8013,1007.9427,0.0000,0.0000,11145.2991,11145.2991,11145.2991,11145.2991,11145.2991,11145.2991
10.0000,1.0000,34.0272,23.0886,85.0000,1.0000,-0.9886,3,1393.2152,555.6695,799.2039,-67.6159,81.0774,116.6839,139.4777,-9.8894,11.8259,69.2515,0.0000,69.2515,0.0000,69.2515,4.8684,0.0000,64.3830,0.0000,,,64.3830,1.6448,62.7382,0.0000,62.7382,2.0636,60.6746,-5.9681,1.0246,4.0812,61.5369,608.3909,1010.5059,0.0000,0.0000,15879.4279,15879.4279,15879.4279,15879.4279,15879.4279,15879.4279
