# VECTO 3.3.10.2401 - 07.10.2022 01:30
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,478.0000,-35.0000,0.0000,30.0336,30.0336,-2.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,508.0000,508.0000,508.0000,508.0000,508.0000,508.0000
2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,478.0000,-35.0000,0.0000,30.0336,30.0336,-2.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,508.0000,508.0000,508.0000,508.0000,508.0000,508.0000
3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,478.0000,-35.0000,0.0000,30.0336,30.0336,-2.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,508.0000,508.0000,508.0000,508.0000,508.0000,508.0000
4.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,478.0000,-35.0000,0.0000,30.0336,30.0336,-2.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,508.0000,508.0000,508.0000,508.0000,508.0000,508.0000
5.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,478.0000,-35.0000,0.0000,30.0336,30.0336,-2.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,508.0000,508.0000,508.0000,508.0000,508.0000,508.0000
6.0000,1.0000,0.5000,1.8000,30.0000,1.0000,0.0000,2,657.2987,341.6998,512.2482,-37.2699,23.4750,35.2872,36.6492,-2.5671,2.2327,21.2423,15.2519,5.9904,0.0000,5.9904,0.4260,0.0000,5.5645,0.0000,,,5.5645,0.1371,5.4274,0.0000,5.4274,0.1654,5.2619,0.0000,0.0011,0.3272,4.9336,48.7765,1089.3275,0.0000,0.0000,5589.6460,5589.6460,5589.6460,5589.6460,5589.6460,5589.6460
7.0000,1.0000,2.0000,5.4000,30.0000,1.0000,0.0000,2,696.4160,320.8876,491.6602,-38.8196,23.4583,35.8649,41.5071,-2.8326,0.9253,22.5329,5.1081,17.4249,0.0000,17.4249,1.2468,0.0000,16.1780,0.0000,,,16.1780,0.3996,15.7784,0.0000,15.7784,0.4806,15.2978,0.0000,0.0147,0.9506,14.3325,141.6996,1090.1760,0.0000,0.0000,5427.7625,5427.7625,5427.7625,5427.7625,5427.7625,5427.7625
8.0000,1.0000,4.5000,9.0000,30.0000,1.0000,0.0747,2,905.5951,447.7033,580.7191,-46.3894,42.5111,55.7776,72.9476,-4.4471,12.7556,29.7555,0.0000,29.7555,0.0000,29.7555,2.2825,0.0000,27.4730,0.0000,,,27.4730,0.6794,26.7936,0.0000,26.7936,0.8083,25.9853,0.2174,0.0644,1.5987,24.1048,238.3145,1099.1009,0.0000,0.0000,9316.8086,9316.8086,9316.8086,9316.8086,9316.8086,9316.8086
9.0000,1.0000,8.0000,12.6000,30.0000,1.0000,1.1683,2,1262.7555,479.5777,724.9410,-61.6474,63.5547,96.2986,124.7307,-8.2233,17.7863,45.7684,0.0000,45.7684,0.0000,45.7684,3.6353,0.0000,42.1331,0.0000,,,42.1331,1.0271,41.1060,0.0000,41.1060,1.1271,39.9788,3.9675,0.1707,2.2291,33.6116,332.3041,1207.2355,0.0000,0.0000,12624.8214,12624.8214,12624.8214,12624.8214,12624.8214,12624.8214
10.0000,1.0000,12.4550,15.5893,30.0000,0.6607,1.4700,2,1584.6922,339.5210,817.5665,-75.4916,55.2734,135.9089,157.4026,-12.5548,12.5644,42.7089,0.0000,42.7089,0.0000,42.7089,4.3090,0.0000,38.4000,0.0000,,,38.4000,1.0353,37.3647,0.0000,37.3647,0.9121,36.4526,6.1080,0.3350,2.8102,27.1994,418.9444,894.3719,0.0000,0.0000,11563.3266,11563.3266,11563.3266,11563.3266,11563.3266,11563.3266
11.0000,1.0000,16.9804,16.2972,30.0000,-0.2674,1.4700,0,1549.8775,-74.1143,703.4461,-74.1143,-12.0497,114.7427,154.4854,-12.0497,-12.0497,0.0000,0.0000,0.0000,0.0000,0.0000,2.2205,0.0000,-2.2205,0.0000,,,-2.2205,0.2890,-2.5095,0.0000,-2.5095,-0.3894,-2.1201,6.2563,0.3566,2.8784,-11.6115,429.1159,-49.2951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.0000,1.0000,21.2774,15.8771,30.0000,0.0340,1.4700,0,1336.5823,4.4548,593.9341,-65.0584,-0.6890,83.4610,133.2626,-9.1572,-14.2994,13.6104,0.0000,13.6104,0.0000,13.6104,2.2912,0.0000,11.3193,0.0000,,,11.3193,0.5179,10.8014,0.0000,10.8014,0.0565,10.7448,5.9901,0.3131,2.7560,1.6856,410.8595,256.4158,0.0000,0.0000,1399.8534,1399.8534,1399.8534,1399.8534,1399.8534,1399.8534
13.0000,1.0000,26.1847,17.6695,30.0000,0.9617,1.4700,3,1113.4882,537.9918,644.5517,-54.6164,62.3272,75.2976,106.3665,-6.3817,-0.1399,62.4671,0.0000,62.4671,0.0000,62.4671,3.8845,0.0000,58.5826,0.0000,,,58.5826,1.4371,57.1456,0.0000,57.1456,1.5179,55.6277,6.7828,0.4609,3.1207,45.2633,465.2286,1202.2124,0.0000,0.0000,12651.2795,12651.2795,12651.2795,12651.2795,12651.2795,12651.2795
