# VECTO 3.3.10.2401 - 07.10.2022 01:29
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.4050,1.6200,29.0700,0.9000,-3.3000,2,648.4350,232.1772,463.3757,-36.9188,15.8637,31.5114,35.6046,-2.5092,2.2327,13.6310,10.0907,3.5403,0.0000,3.5403,0.2952,0.0000,3.2451,0.0000,,,3.2451,0.0862,3.1589,0.0000,3.1589,0.1364,3.0225,-1.3157,0.0008,0.2696,4.0677,40.2159,662.1963,0.0000,0.0000,3766.5323,3766.5323,3766.5323,3766.5323,3766.5323,3766.5323
2.0000,1.0000,1.8050,5.0400,32.3000,1.0000,-3.3000,2,691.6757,226.6652,471.4791,-38.6318,16.4206,34.1478,40.8659,-2.7982,0.3787,16.0419,4.4130,11.6288,0.0000,11.6288,0.9730,0.0000,10.6558,0.0000,,,10.6558,0.2838,10.3720,0.0000,10.3720,0.4475,9.9245,-4.3160,0.0121,0.8845,13.3439,131.9258,771.2302,0.0000,0.0000,3836.6499,3836.6499,3836.6499,3836.6499,3836.6499,3836.6499
3.0000,1.0000,4.2050,8.6400,32.3000,1.0000,-2.8915,2,867.7958,362.0922,534.0080,-44.9640,33.0616,49.0991,67.0054,-4.1218,11.7330,21.3285,0.0913,21.2372,0.0000,21.2372,1.8685,0.0000,19.3688,0.0000,,,19.3688,0.5111,18.8577,0.0000,18.8577,0.7711,18.0866,-6.4877,0.0559,1.5244,22.9940,227.3323,812.2535,0.0000,0.0000,7231.8766,7231.8766,7231.8766,7231.8766,7231.8766,7231.8766
4.0000,1.0000,7.6050,12.2400,32.3000,1.0000,-2.7108,2,1229.1101,376.5460,686.0601,-60.0935,48.4929,88.6629,120.8409,-7.7948,17.3124,31.1805,0.0000,31.1805,0.0000,31.1805,2.9764,0.0000,28.2041,0.0000,,,28.2041,0.7437,27.4604,0.0000,27.4604,1.0971,26.3633,-8.6787,0.1569,2.1691,32.7160,323.4500,832.1433,0.0000,0.0000,9767.0728,9767.0728,9767.0728,9767.0728,9767.0728,9767.0728
5.0000,1.0000,11.9927,15.5708,32.3000,0.8504,-2.5526,2,1564.6309,306.9463,783.5905,-74.6979,49.5924,128.7042,155.6637,-12.2702,15.9582,33.6343,0.0000,33.6343,0.0000,33.6343,3.8952,0.0000,29.7391,0.0000,,,29.7391,0.8486,28.8904,0.0000,28.8904,1.1766,27.7138,-10.4775,0.3252,2.7789,35.0873,414.3734,698.5119,0.0000,0.0000,10320.4798,10320.4798,10320.4798,10320.4798,10320.4798,10320.4798
6.0000,1.0000,16.7907,17.2728,32.3000,0.0952,-2.3853,0,1569.6425,-74.8962,711.9789,-74.8962,-12.3304,117.5820,156.1948,-12.3304,-12.3304,0.0000,0.0000,0.0000,0.0000,0.0000,2.4476,0.0000,-2.4476,0.0000,,,-2.4476,0.3098,-2.7573,0.0000,-2.7573,0.1468,-2.9042,-10.7581,0.4243,3.0509,4.3787,454.9121,-51.4198,0.0000,0.0000,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
7.0000,1.0000,21.6929,17.8819,32.3000,0.2432,-2.1914,0,1373.7793,-10.5230,598.4755,-66.7811,-2.2935,86.2340,137.5319,-9.6310,-10.9096,8.6161,0.0000,8.6161,0.0000,8.6161,2.4684,0.0000,6.1477,0.0000,,,6.1477,0.4657,5.6820,0.0000,5.6820,0.3969,5.2851,-10.1441,0.4599,3.1325,11.8368,467.0488,118.1099,0.0000,0.0000,1210.4711,1210.4711,1210.4711,1210.4711,1210.4711,1210.4711
8.0000,1.0000,27.2817,20.1197,32.3000,1.0000,-1.9489,3,1252.2552,437.5322,665.8993,-61.3463,57.4419,87.5110,125.3659,-8.0525,2.8036,54.6383,0.0000,54.6383,0.0000,54.6383,3.8777,0.0000,50.7607,0.0000,,,50.7607,1.3212,49.4395,0.0000,49.4395,1.7981,47.6414,-10.2124,0.6801,3.5555,53.6182,530.1019,913.6999,0.0000,0.0000,11374.5774,11374.5774,11374.5774,11374.5774,11374.5774,11374.5774
9.0000,1.0000,33.8705,23.7197,32.3000,1.0000,-1.6431,3,1430.6600,527.5373,794.0512,-69.2376,79.0903,119.0806,143.2264,-10.3982,12.1438,66.9465,0.0000,66.9465,0.0000,66.9465,4.8664,0.0000,62.0801,0.0000,,,62.0801,1.6088,60.4714,0.0000,60.4714,2.1191,58.3523,-10.1384,1.1093,4.1905,63.1908,624.7424,948.1456,0.0000,0.0000,15512.6694,15512.6694,15512.6694,15512.6694,15512.6694,15512.6694
10.0000,1.0000,41.4526,27.2805,32.3000,0.9782,-1.2498,3,1645.8158,536.8667,846.6869,-77.5733,92.5190,146.0558,161.4722,-13.3888,13.6555,78.8636,0.0000,78.8636,0.0000,78.8636,5.8940,0.0000,72.9696,0.0000,,,72.9696,1.8906,71.0790,0.0000,71.0790,2.3829,68.6961,-8.8662,1.6844,4.8210,71.0569,718.6969,969.5873,0.0000,0.0000,18132.2438,18132.2438,18132.2438,18132.2438,18132.2438,18132.2438
