# VECTO 3.3.10.2401 - 07.10.2022 01:53
Job [-],Input File [-],Cycle [-],Status,Vehicle manufacturer [-],VIN number,Vehicle model [-],HDV CO2 vehicle class [-],Corrected Actual Curb Mass [kg],Loading [kg],Total vehicle mass [kg],Engine manufacturer [-],Engine model [-],Engine fuel type [-],Engine rated power [kW],Engine idling speed [rpm],Engine rated speed [rpm],Engine displacement [ccm],Engine WHTCUrban,Engine WHTCRural,Engine WHTCMotorway,Engine BFColdHot,Engine CFRegPer,Engine actual CF,Vehicle fuel type [-],AirDrag model [-],Declared CdxA [m²],CdxA [m²],Sleeper cab [-],Declared RRC axle 1 [-],Declared FzISO axle 1 [N],Declared RRC axle 2 [-],Declared FzISO axle 2 [N],Declared RRC axle 3 [-],Declared FzISO axle 3 [N],Declared RRC axle 4 [-],Declared FzISO axle 4 [N],total RRC [-],weighted RRC w/o trailer [-],r_dyn [m],Number axles vehicle driven [-],Number axles vehicle non-driven [-],Number axles trailer [-],Gearbox manufacturer [-],Gearbox model [-],Gearbox type [-],Gear ratio first gear [-],Gear ratio last gear [-],Torque converter manufacturer [-],Torque converter model [-],Retarder manufacturer [-],Retarder model [-],Retarder type [-],Angledrive manufacturer [-],Angledrive model [-],Angledrive ratio [-],Axle manufacturer [-],Axle model [-],Axle gear ratio [-],Auxiliary technology STP [-],Auxiliary technology FAN [-],Auxiliary technology AC [-],Auxiliary technology PS [-],Auxiliary technology ES [-],ADAS technology combination [-],PTOShaftsGearWheels,Auxiliary technology cycle [-],Auxiliary technology ConstantAux [-],Cargo Volume [m³],time [s],distance [km],speed [km/h],altitudeDelta [m],FC-Map [g/h],FC-Map [g/km],FC-NCVc [g/h],FC-NCVc [g/km],FC-WHTCc [g/h],FC-WHTCc [g/km],FC-AAUX [g/h],FC-AAUX [g/km],FC-ADAS [g/h],FC-ADAS [g/km],FC-Final [g/h],FC-Final [g/km],FC-Final [l/100km],FC-Final [l/100tkm],FC-Final [l/100m³km],CO2 [g/km],CO2 [g/tkm],CO2 [g/m³km],P_wheel_in_pos [kW],P_fcmap_pos [kW],E_fcmap_pos [kWh],E_fcmap_neg [kWh],E_powertrain_inertia [kWh],E_aux_CYCLE [kWh],E_aux_CONSTANTAUX [kWh],E_aux_sum [kWh],E_clutch_loss [kWh],E_tc_loss [kWh],E_shift_loss [kWh],E_gbx_loss [kWh],E_ret_loss [kWh],E_angle_loss [kWh],E_axl_loss [kWh],E_brake [kWh],E_vehi_inertia [kWh],E_air [kWh],E_roll [kWh],E_grad [kWh],a [m/s^2],a_pos [m/s^2],a_neg [m/s^2],AccelerationTimeShare [%],DecelerationTimeShare [%],CruiseTimeShare [%],max. speed [km/h],max. acc [m/s²],max. dec [m/s²],n_eng_avg [rpm],n_eng_max [rpm],gear shifts [-],StopTimeShare [%],Engine max. Load time share [%],CoastingTimeShare [%],BrakingTImeShare [%],Engine certification number,Average engine efficiency [%],Torque converter certification option,TorqueConverter certification number,Average torque converter efficiency w/o lockup [%],Average torque converter efficiency with lockup [%],Gearbox certification option,Gearbox certification number,Average gearbox efficiency [%],Retarder certification option,Retarder certification number,Angledrive certification option,Angledrive certification number,Average angledrive efficiency [%],Axlegear certification method,Axlegear certification number,Average axlegear efficiency [%],AirDrag certification number,AirDrag certification option,Gear 0 TimeShare [%],Gear 1 TimeShare [%],Gear 2 TimeShare [%],Gear 3 TimeShare [%],Gear 4 TimeShare [%],Gear 5 TimeShare [%],Gear 6 TimeShare [%],Gear 7 TimeShare [%],Gear 8 TimeShare [%],Gear 9 TimeShare [%],Gear 10 TimeShare [%],Gear 11 TimeShare [%],Gear 12 TimeShare [%]
3-0,Class 5 all routes,Coach.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,15641.4213,275.1760,63.3340,0.8148,21541.0841,340.1189,21541.0841,340.1189,21541.0841,340.1189,21541.0841,340.1189,21541.0841,340.1189,21541.0841,340.1189,40.6841,2.1080,,1064.5720,55.1592,,101.3087,111.5759,484.7792,18.4709,0.0000,0.0000,0.0000,0.0000,0.1234,0.0000,0.0000,26.5435,5.2695,0.0000,21.0234,111.0625,0.0000,147.2529,155.0331,0.0002,0.0000,0.3351,-0.4370,8.6236,6.4865,82.3069,100.0000,1.0000,1.1130,1149.2172,1857.2112,311.0000,2.5829,20.1860,2.7054,2.8283,N/A,0.436694146902825,,,,,NOT CERTIFIED,N/A,0.952707356131286,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.964718675829889,N/A,NOT CERTIFIED,4.7186,0.0000,0.0615,0.0769,0.1684,0.6552,2.5154,2.4205,10.3419,12.7222,7.0411,7.4698,51.8086
3-1,Class 5 all routes,Construction.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,8112.7468,99.8890,44.3254,9.2683,16799.8051,379.0112,16799.8051,379.0112,16799.8051,379.0112,16799.8051,379.0112,16799.8051,379.0112,16799.8051,379.0112,45.3363,2.3490,,1186.3049,61.4666,,76.9001,86.5390,195.0191,10.7835,0.0000,0.0000,0.0000,0.0000,0.4875,0.0000,0.0000,12.2941,1.7586,0.0000,8.0774,69.4133,0.0000,35.0416,56.2828,0.8804,0.0000,0.5282,-0.6390,19.9215,15.7081,51.1320,89.0000,1.0000,1.0000,1047.9419,1840.7051,618.0000,13.2384,19.1395,9.6683,10.1700,N/A,0.434292377088893,,,,,NOT CERTIFIED,N/A,0.947563272902557,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.965858348777429,N/A,NOT CERTIFIED,21.8690,0.0000,0.0839,1.2340,1.3424,1.5770,4.6102,3.9269,5.4007,8.5188,11.7060,9.4922,30.2387
3-2,Class 5 all routes,HeavyUrban.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,9080.9781,30.4830,12.0845,-0.9810,8881.8846,734.9834,8881.8846,734.9834,8881.8846,734.9834,8881.8846,734.9834,8881.8846,734.9834,8881.8846,734.9834,87.9167,4.5553,,2300.4981,119.1968,,35.5081,42.7698,107.8866,9.3369,0.0000,0.0000,0.0000,0.0000,1.6476,0.0000,0.0000,8.1917,0.4709,0.0000,3.6805,65.2064,0.0000,2.2696,17.1765,-0.0936,0.0000,0.7793,-0.8050,21.3187,19.9634,15.2975,57.6297,1.0000,1.0000,852.3923,1813.6250,1174.0000,43.4204,10.1384,0.2686,16.0413,N/A,0.405982042307163,,,,,NOT CERTIFIED,N/A,0.937692260030196,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.967988185117098,N/A,NOT CERTIFIED,59.8084,0.0265,1.4925,1.8978,4.1352,3.3933,5.5114,6.1634,6.3305,5.8818,3.2521,1.8053,0.3018
3-3,Class 5 all routes,Interurban.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,13302.3963,123.5900,33.4469,1.3106,15635.1733,467.4625,15635.1733,467.4625,15635.1733,467.4625,15635.1733,467.4625,15635.1733,467.4625,15635.1733,467.4625,55.9166,2.8972,,1463.1575,75.8113,,70.2218,79.6919,294.4704,18.4479,0.0000,0.0000,0.0000,0.0000,1.0129,0.0000,0.0000,20.7193,2.0646,0.0000,11.6730,141.3851,0.0000,29.5223,69.6255,0.0197,0.0000,0.5872,-0.7338,20.9454,16.0255,50.1833,84.0000,1.0000,1.1108,999.5238,1856.2821,1089.0000,12.8458,20.6156,6.5687,12.3080,N/A,0.429720631269071,,,,,NOT CERTIFIED,N/A,0.941095333604536,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.967799121698084,N/A,NOT CERTIFIED,22.4091,0.0000,0.1627,1.2044,1.6323,1.8391,5.5082,5.7835,14.0415,17.8854,8.0771,4.8705,16.5862
3-4,Class 5 all routes,LongHaul.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,4586.4490,100.1850,78.6373,-2.5494,21630.8712,275.0714,21630.8712,275.0714,21630.8712,275.0714,21630.8712,275.0714,21630.8712,275.0714,21630.8712,275.0714,32.9033,1.7048,,860.9734,44.6100,,102.9522,113.4460,144.5317,3.0220,0.0002,0.0000,0.0000,0.0000,0.0557,0.0000,0.0000,6.4543,1.9024,0.0000,6.3093,18.4902,0.0000,52.0754,56.4536,-0.2313,0.0000,0.4399,-0.4435,4.4739,4.2043,89.8610,85.0000,1.0000,1.0000,1183.1637,1762.0520,52.0000,1.4608,11.9490,2.6940,1.6781,N/A,0.442170468403046,,,,,NOT CERTIFIED,N/A,0.959242997577392,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.960188668400396,N/A,NOT CERTIFIED,2.7866,0.0000,0.0000,0.1048,0.2213,0.1876,0.2144,0.5553,0.2929,2.3277,1.6223,3.0625,88.6246
3-5,Class 5 all routes,RegionalDelivery.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,6026.2137,100.0000,59.7390,7.2888,18681.0402,312.7109,18681.0402,312.7109,18681.0402,312.7109,18681.0402,312.7109,18681.0402,312.7109,18681.0402,312.7109,37.4056,1.9381,,978.7853,50.7143,,87.5675,96.7834,162.0104,6.7700,0.0000,0.0000,0.0000,0.0000,0.1408,0.0000,0.0000,8.6108,1.8381,0.0000,7.1641,35.6911,0.0000,44.7477,56.3474,0.7003,0.0000,0.4403,-0.4835,11.2088,9.6578,66.7541,85.0000,1.0000,1.0000,1080.5068,1833.5426,198.0000,12.3792,18.5757,6.8964,4.4003,N/A,0.436791744350282,,,,,NOT CERTIFIED,N/A,0.954836709770313,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.963953214831639,N/A,NOT CERTIFIED,16.0007,0.0000,0.0000,0.3958,0.4500,0.4293,0.6002,1.1887,2.8020,5.3757,5.5034,9.6910,57.5631
3-6,Class 5 all routes,Suburban.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,3241.6450,23.5030,26.1012,-0.3340,14489.0375,555.1102,14489.0375,555.1102,14489.0375,555.1102,14489.0375,555.1102,14489.0375,555.1102,14489.0375,555.1102,66.4007,3.4405,,1737.4949,90.0256,,63.2298,73.5598,66.2374,4.5322,0.0000,0.0000,0.0000,0.0000,0.5142,0.0000,0.0000,4.8242,0.3733,0.0000,2.3869,37.2517,0.0000,3.1417,13.2449,-0.0316,0.0000,0.6534,-0.7830,30.7072,24.3292,28.3948,67.0000,1.0000,1.0000,991.3457,1829.3638,453.0000,16.5687,22.6552,4.8000,19.2949,N/A,0.4280311951806,,,,,NOT CERTIFIED,N/A,0.939300359318272,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.968000088710564,N/A,NOT CERTIFIED,33.2830,0.0000,0.1483,2.2991,3.4406,2.0411,4.8756,7.0504,11.7926,12.7696,9.9368,8.7519,3.6110
3-7,Class 5 all routes,Urban.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,8382.2141,39.5510,16.9864,-0.1140,10279.9817,605.1891,10279.9817,605.1891,10279.9817,605.1891,10279.9817,605.1891,10279.9817,605.1891,10279.9817,605.1891,72.3910,3.7508,,1894.2420,98.1473,,42.4474,50.5516,117.7039,9.9292,0.0000,0.0000,0.0000,0.0000,1.2326,0.0000,0.0000,9.0381,0.6186,0.0000,4.2468,66.3855,0.0000,3.9821,22.2847,-0.0138,0.0000,0.7557,-0.8063,22.5994,20.4523,23.7566,68.1000,1.0000,1.0000,901.6684,1848.0179,1138.0000,33.1917,12.3594,1.4911,15.9567,N/A,0.414588096902638,,,,,NOT CERTIFIED,N/A,0.93703001170243,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.967489650949895,N/A,NOT CERTIFIED,49.7390,0.3155,1.2630,1.5799,3.4647,3.3833,5.5862,7.5971,6.6181,7.7476,6.1904,4.2215,2.2937
3-8,Class 5 all routes,UrbanDelivery.vdri,Success,N/A,,N/A,0,8229.0000,19300.0000,35029.0000,N/A,325kW 12.7l Engine,Diesel CI,325.0322,600.0000,1735.9223,12740.0000,1,1,1,0,1,1,Diesel CI,N/A,,5.3000,-,0.0055,33350.0000,0.0065,33350.0000,0.0055,41690.0000,0.0055,41690.0000,0.00590600537562036,0.00590600537562036,0.4920,1,4,0,N/A,tractor_12gear_example,AMT,14.9300,1.0000,N/A,N/A,N/A,N/A,Secondary Retarder,N/A,N/A,N/A,N/A,tractor_12gear_example,2.6400,,,,,,,,,,,14083.5611,99.9990,25.5615,9.8663,14012.8590,548.2026,14012.8590,548.2026,14012.8590,548.2026,14012.8590,548.2026,14012.8590,548.2026,14012.8590,548.2026,65.5745,3.3976,,1715.8741,88.9054,,61.3159,70.8105,277.0177,19.0053,0.0000,0.0000,0.0000,0.0000,1.2412,0.0000,0.0000,20.0281,1.6201,0.0000,10.1979,150.2055,0.0000,17.4264,56.3413,0.9519,0.0000,0.6180,-0.7492,26.4816,21.0188,28.7201,85.0000,1.0000,1.1667,977.3126,1848.2030,1773.0000,23.7795,19.6771,4.6215,15.4904,N/A,0.426035107926474,,,,,NOT CERTIFIED,N/A,0.93985164979934,NOT CERTIFIED,N/A,,,,NOT CERTIFIED,N/A,0.968312549408828,N/A,NOT CERTIFIED,37.9832,0.0571,0.2932,2.2186,2.8547,2.7889,4.9214,7.4293,8.4885,9.6413,8.8788,7.9458,6.4993
#@ SHA256: 9eZQPoTeV0YqIgaOnfiP0G4hn5cWMMALcEP4iUycKv0=
