# VECTO 3.3.10.2401 - 07.10.2022 01:52
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
2.0000,1.0000,0.5000,1.8000,67.0000,1.0000,0.0000,3,642.5003,899.8418,1250.9296,-139.0625,60.5082,84.2093,86.7498,-9.3571,2.3498,58.1584,36.6330,21.5254,0.0000,21.5254,1.3391,0.0000,20.1864,0.0276,,,20.1588,0.6583,19.5004,0.0000,19.5004,0.4348,19.0656,0.0000,0.0011,1.0437,18.0207,26.3606,7311.7133,0.0000,0.0000,11665.3802,11665.3802,11665.3802,11665.3802,11665.3802,11665.3802
3.0000,1.0000,2.0000,5.4000,67.0000,1.0000,-0.0014,3,748.4186,1006.0105,1276.8680,-141.9262,79.6464,100.6173,122.1960,-11.1462,11.7207,67.9258,5.2239,62.7019,0.0000,62.7019,4.0108,0.0000,58.6911,0.0802,,,58.6109,1.9591,56.6518,0.0000,56.6518,1.2632,55.3886,-0.0101,0.0149,3.0321,52.3517,76.5796,7318.5542,0.0000,0.0000,15175.7953,15175.7953,15175.7953,15175.7953,15175.7953,15175.7953
4.0000,1.0000,4.3056,7.8261,67.0000,0.3478,-0.0401,0,1021.4873,373.6378,1564.0733,-153.5281,39.2260,167.8327,226.7635,-16.4303,2.1881,37.0379,0.0000,37.0379,0.0000,37.0379,4.3210,0.0000,32.7168,0.1234,,,32.5935,1.3996,31.1939,0.0000,31.1939,0.6316,30.5622,-0.3184,0.0473,4.6559,26.1774,117.5908,2809.7348,0.0000,0.0000,9198.0782,9198.0782,9198.0782,9198.0782,9198.0782,9198.0782
5.0000,1.0000,6.7827,9.3746,67.0000,0.5125,-0.0676,4,945.1367,634.8250,1199.7859,-149.7072,64.0550,119.5581,196.5955,-14.8300,3.7939,60.2611,0.0000,60.2611,0.0000,60.2611,4.8643,0.0000,55.3968,0.1345,,,55.2623,2.0804,53.1820,0.0000,53.1820,1.1459,52.0361,-0.5859,0.0621,5.0723,47.4876,128.1078,3924.8180,0.0000,0.0000,13158.4060,13158.4060,13158.4060,13158.4060,13158.4060,13158.4060
6.0000,1.0000,10.1430,12.0971,67.0000,1.0000,-0.0998,4,1214.2228,1296.6842,1698.4977,-168.5705,164.8782,216.6478,271.1964,-21.5728,24.7360,140.1423,0.0000,140.1423,0.0000,140.1423,9.0025,0.0000,131.1397,0.1820,,,130.9578,4.3910,126.5668,0.0000,126.5668,2.8451,123.7217,-1.1683,0.1531,6.8290,117.9080,172.4748,7261.6955,0.0000,0.0000,30457.5107,30457.5107,30457.5107,30457.5107,30457.5107,30457.5107
7.0000,1.0000,14.4675,15.1972,67.0000,0.7223,-0.1428,4,1525.7954,907.7860,1754.6664,-205.7827,143.5759,280.2739,319.6859,-32.9648,13.9675,129.6083,0.0000,129.6083,0.0000,129.6083,9.9137,0.0000,119.6946,0.2333,,,119.4614,4.1390,115.3224,0.0000,115.3224,2.5544,112.7679,-2.1210,0.3113,8.7139,105.8638,220.0792,5322.2423,0.0000,0.0000,28185.8382,28185.8382,28185.8382,28185.8382,28185.8382,28185.8382
8.0000,1.0000,19.0463,16.8247,67.0000,0.1820,-0.1924,0,1379.1451,167.6553,1409.8623,-186.2614,17.5933,206.1833,301.5399,-27.1118,-28.0105,45.6038,0.0000,45.6038,0.0000,45.6038,5.3862,0.0000,40.2177,0.2506,,,39.9671,1.9230,38.0441,0.0000,38.0441,0.7390,37.3051,-3.0481,0.3800,9.3475,30.6258,236.0818,1573.2198,0.0000,0.0000,7295.3453,7295.3453,7295.3453,7295.3453,7295.3453,7295.3453
9.0000,1.0000,24.2855,18.8876,67.0000,0.9641,-0.2471,6,1211.5304,1673.4810,1702.4622,-166.8632,212.5223,216.4011,270.7431,-21.1915,6.2688,206.2534,0.0000,206.2534,0.0000,206.2534,11.4955,0.0000,194.7579,0.2859,,,194.4720,6.1876,188.2844,0.0000,188.2844,4.2777,184.0067,-4.4701,0.5658,10.6309,177.2802,268.4963,6915.5414,0.0000,0.0000,39592.8152,39592.8152,39592.8152,39592.8152,39592.8152,39592.8152
10.0000,1.0000,30.5141,22.4230,67.0000,1.0000,-0.3108,6,1403.6608,1838.3071,1954.0963,-188.6876,270.1965,287.1639,308.4898,-27.8144,17.8720,252.3245,0.0000,252.3245,0.0000,252.3245,14.3401,0.0000,237.9845,0.3414,,,237.6431,7.3932,230.2499,0.0000,230.2499,5.2623,224.9876,-6.6748,0.9457,12.6310,218.0856,319.0138,7124.5186,0.0000,0.0000,51067.7683,51067.7683,51067.7683,51067.7683,51067.7683,51067.7683
