# VECTO 3.3.10.2401 - 07.10.2022 01:52
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.8925,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-571.3477,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
2.0000,1.0000,0.5000,1.8000,83.0000,1.0000,-0.8925,3,642.5003,831.7617,1248.9612,-139.0625,55.9275,84.0721,86.7498,-9.3571,2.3498,53.5778,33.7479,19.8299,0.0000,19.8299,1.2713,0.0000,18.5586,0.0276,,,18.5310,0.6078,17.9232,0.0000,17.9232,0.4348,17.4884,-1.5772,0.0011,1.0437,18.0207,26.3606,6722.1944,0.0000,0.0000,10931.5261,10931.5261,10931.5261,10931.5261,10931.5261,10931.5261
3.0000,1.0000,2.0000,5.4000,83.0000,1.0000,-0.8927,3,748.4186,937.8844,1256.0384,-141.9262,74.3093,98.9586,122.1960,-11.1462,11.7207,62.5887,4.8121,57.7766,0.0000,57.7766,3.8138,0.0000,53.9628,0.0802,,,53.8826,1.8044,52.0781,0.0000,52.0781,1.2632,50.8149,-4.5836,0.0149,3.0320,52.3517,76.5796,6728.6370,0.0000,0.0000,14275.8179,14275.8179,14275.8179,14275.8179,14275.8179,14275.8179
4.0000,1.0000,4.3201,7.9138,83.0000,0.3966,-0.9002,0,1021.2724,346.6389,1536.3620,-153.5195,36.3821,164.8282,226.6537,-16.4261,2.1711,34.2110,0.0000,34.2110,0.0000,34.2110,4.2315,0.0000,29.9795,0.1242,,,29.8553,1.3133,28.5419,0.0000,28.5419,0.7293,27.8127,-7.1469,0.0484,4.6883,30.2229,118.4138,2577.4534,0.0000,0.0000,8693.0587,8693.0587,8693.0587,8693.0587,8693.0587,8693.0587
5.0000,1.0000,6.8821,9.6495,83.0000,0.5677,-0.9075,4,959.1667,637.3354,1203.7511,-150.4447,65.8434,121.9298,201.6182,-15.1312,6.0422,59.8012,0.0000,59.8012,0.0000,59.8012,4.9566,0.0000,54.8446,0.1391,,,54.7055,2.0685,52.6370,0.0000,52.6370,1.3049,51.3321,-8.0579,0.0687,5.2431,54.0782,132.4266,3750.6441,0.0000,0.0000,13464.2498,13464.2498,13464.2498,13464.2498,13464.2498,13464.2498
6.0000,1.0000,10.3464,12.4713,83.0000,1.0000,-0.9164,4,1256.4931,1217.2670,1681.4088,-173.1627,160.1831,221.6897,278.6866,-22.9657,25.5971,134.5860,0.0000,134.5860,0.0000,134.5860,8.9673,0.0000,125.6187,0.1884,,,125.4303,4.2063,121.2241,0.0000,121.2241,2.9441,118.2800,-10.9692,0.1700,7.0664,122.0127,178.4791,6721.3910,0.0000,0.0000,29674.5056,29674.5056,29674.5056,29674.5056,29674.5056,29674.5056
7.0000,1.0000,14.8023,15.8374,84.2055,0.8701,-0.9276,4,1581.4042,1039.2090,1742.1470,-213.6809,170.6615,288.7084,321.4820,-35.5242,23.7006,146.9609,0.0000,146.9609,0.0000,146.9609,11.0851,0.0000,135.8758,0.2399,,,135.6359,4.5753,131.0607,0.0000,131.0607,3.2004,127.8602,-14.0708,0.3393,8.9558,132.6360,226.1979,5821.0003,0.0000,0.0000,32626.3578,32626.3578,32626.3578,32626.3578,32626.3578,32626.3578
8.0000,1.0000,19.6399,17.6088,85.0000,0.1141,-0.9415,0,1545.7385,8.9576,1484.6738,-208.5396,-0.2784,242.0714,320.3266,-33.8695,-23.7651,23.4867,0.0000,23.4867,0.0000,23.4867,6.4505,0.0000,17.0362,0.2646,,,16.7715,1.4509,15.3207,0.0000,15.3207,0.4885,14.8322,-15.7159,0.4455,9.8577,20.2449,248.9789,619.9402,0.0000,0.0000,5318.6821,5318.6821,5318.6821,5318.6821,5318.6821,5318.6821
9.0000,1.0000,25.0726,19.5800,85.0000,0.9810,-0.9569,5,1571.9874,1396.0906,1605.5484,-212.3804,230.1569,265.8920,321.1646,-35.0968,25.0551,205.1018,0.0000,205.1018,0.0000,205.1018,13.2940,0.0000,191.8078,0.2970,,,191.5108,6.0838,185.4270,0.0000,185.4270,4.5153,180.9117,-17.8821,0.6319,11.0322,187.1296,278.6452,6564.2675,0.0000,0.0000,42764.6931,42764.6931,42764.6931,42764.6931,42764.6931,42764.6931
10.0000,1.0000,31.2623,21.9001,85.0000,0.3079,-0.9783,0,1675.4451,292.9196,1669.3387,-226.9202,54.4101,294.2666,323.9179,-39.9126,-16.5365,70.9466,0.0000,70.9466,0.0000,70.9466,8.8114,0.0000,62.1352,0.3379,,,61.7974,2.8462,58.9512,0.0000,58.9512,1.5610,57.3902,-20.7147,0.9094,12.5035,64.6919,315.8067,1935.7903,0.0000,0.0000,15256.4034,15256.4034,15256.4034,15256.4034,15256.4034,15256.4034
