# VECTO 3.3.10.2401 - 07.10.2022 01:52
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
4.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
5.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
6.0000,1.0000,0.5000,1.8000,30.0000,1.0000,0.0000,3,642.5003,899.8418,1250.9296,-139.0625,60.5082,84.2093,86.7498,-9.3571,2.3498,58.1584,36.6330,21.5254,0.0000,21.5254,1.3391,0.0000,20.1864,0.0276,,,20.1588,0.6583,19.5004,0.0000,19.5004,0.4348,19.0656,0.0000,0.0011,1.0437,18.0207,26.3606,7311.7133,0.0000,0.0000,11665.3802,11665.3802,11665.3802,11665.3802,11665.3802,11665.3802
7.0000,1.0000,2.0000,5.4000,30.0000,1.0000,0.0000,3,748.4186,1006.1140,1276.8680,-141.9262,79.6573,100.6173,122.1960,-11.1462,11.7207,67.9367,5.2239,62.7128,0.0000,62.7128,4.0112,0.0000,58.7016,0.0802,,,58.6214,1.9595,56.6619,0.0000,56.6619,1.2632,55.3987,0.0000,0.0149,3.0321,52.3517,76.5796,7319.4504,0.0000,0.0000,15177.7783,15177.7783,15177.7783,15177.7783,15177.7783,15177.7783
8.0000,1.0000,4.3047,7.8161,30.0000,0.3423,0.0304,0,1021.4986,374.6326,1564.7404,-153.5286,39.3303,167.9062,226.7694,-16.4305,2.1931,37.1372,0.0000,37.1372,0.0000,37.1372,4.3226,0.0000,32.8146,0.1233,,,32.6913,1.4024,31.2889,0.0000,31.2889,0.6207,30.6681,0.2426,0.0472,4.6527,25.7257,117.5084,2817.9255,0.0000,0.0000,9217.0764,9217.0764,9217.0764,9217.0764,9217.0764,9217.0764
9.0000,1.0000,6.7433,9.2237,30.0000,0.4397,0.9978,4,935.0527,646.7701,1194.1533,-149.1812,64.1719,117.6047,192.9843,-14.6165,2.1599,62.0120,0.0000,62.0120,0.0000,62.0120,4.8843,0.0000,57.1277,0.1324,,,56.9953,2.1350,54.8603,0.0000,54.8603,0.9694,53.8909,8.6635,0.0590,4.9938,40.1746,126.1319,4126.9451,0.0000,0.0000,13195.6895,13195.6895,13195.6895,13195.6895,13195.6895,13195.6895
10.0000,1.0000,10.0253,11.8152,30.0000,1.0000,1.4700,4,1186.1625,1450.0962,1728.2683,-165.8755,180.1396,215.5724,265.0741,-20.7346,24.1643,155.9753,0.0000,155.9753,0.0000,155.9753,9.5158,0.0000,146.4595,0.1777,,,146.2818,4.9032,141.3786,0.0000,141.3786,2.7793,138.5993,16.6028,0.1429,6.6705,115.1832,168.4890,8300.8852,0.0000,0.0000,33250.2237,33250.2237,33250.2237,33250.2237,33250.2237,33250.2237
11.0000,1.0000,14.2674,14.8487,30.0000,0.6853,1.4700,4,1502.4682,1039.9620,1798.2864,-202.5437,161.5251,282.8561,317.6467,-31.9556,15.3622,146.1629,0.0000,146.1629,0.0000,146.1629,10.6877,0.0000,135.4752,0.2284,,,135.2468,4.6635,130.5833,0.0000,130.5833,2.3681,128.2152,21.2448,0.2926,8.5355,98.1423,215.5974,6134.1548,0.0000,0.0000,31379.9409,31379.9409,31379.9409,31379.9409,31379.9409,31379.9409
12.0000,1.0000,18.6460,16.1056,30.0000,0.0129,1.4700,0,1415.5157,186.7177,1464.0198,-190.2128,24.4255,218.7721,309.9333,-28.2954,-18.2006,42.6261,0.0000,42.6261,0.0000,42.6261,6.3070,0.0000,36.3191,0.2396,,,36.0796,1.8697,34.2099,0.0000,34.2099,0.0629,34.1470,22.2635,0.3329,8.9448,2.6058,225.9353,1507.9006,0.0000,0.0000,8517.4241,8517.4241,8517.4241,8517.4241,8517.4241,8517.4241
13.0000,1.0000,23.5847,17.8439,30.0000,0.9528,1.4700,5,1436.8329,1624.1738,1706.0388,-193.1708,245.4521,258.1745,312.2117,-29.1676,19.8274,225.6248,0.0000,225.6248,0.0000,225.6248,13.3960,0.0000,212.2288,0.2693,,,211.9595,6.7425,205.2170,0.0000,205.2170,3.9996,201.2174,24.9588,0.4757,10.0277,165.7552,253.2884,7970.8069,0.0000,0.0000,46111.3642,46111.3642,46111.3642,46111.3642,46111.3642,46111.3642
