# VECTO 3.3.10.2401 - 07.10.2022 01:52
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.4050,1.6200,29.0700,0.9000,-3.3000,4,635.9259,735.8621,1163.2180,-138.8981,49.2855,77.5362,84.8479,-9.2506,2.3498,46.9357,34.4659,12.4698,0.0000,12.4698,0.8064,0.0000,11.6634,0.0228,,,11.6406,0.3689,11.2717,0.0000,11.2717,0.3585,10.9132,-4.8057,0.0008,0.8601,14.8580,21.7341,4400.8315,0.0000,0.0000,9808.4943,9808.4943,9808.4943,9808.4943,9808.4943,9808.4943
2.0000,1.0000,1.8050,5.0400,32.3000,1.0000,-3.3000,4,673.3159,797.2732,1212.9193,-139.8329,56.2396,85.5190,96.0141,-9.8598,1.3414,54.8983,13.9703,40.9279,0.0000,40.9279,2.6543,0.0000,38.2736,0.0747,,,38.1990,1.2134,36.9856,0.0000,36.9856,1.1761,35.8095,-15.7649,0.0122,2.8214,48.7407,71.2975,5125.9973,0.0000,0.0000,11102.3900,11102.3900,11102.3900,11102.3900,11102.3900,11102.3900
3.0000,1.0000,4.1041,7.9072,32.3000,0.5929,-2.8931,4,799.4519,453.8185,1345.3045,-143.2308,36.7021,112.8642,139.2283,-11.9947,3.4010,33.3011,0.2674,33.0337,0.0000,33.0337,3.3577,0.0000,29.6760,0.1230,,,29.5529,1.1902,28.3627,0.0000,28.3627,1.0917,27.2710,-22.6631,0.0476,4.6414,45.2451,117.2717,2606.0116,0.0000,0.0000,8129.4858,8129.4858,8129.4858,8129.4858,8129.4858,8129.4858
4.0000,1.0000,6.7732,9.9189,32.3000,0.5248,-2.7318,5,766.7144,500.5959,1068.0762,-142.2893,41.8666,86.1270,127.4423,-11.4307,4.2650,37.6016,0.0000,37.6016,0.0000,37.6016,3.5318,0.0000,34.0698,0.1443,,,33.9255,1.2944,32.6311,0.0000,32.6311,1.2306,31.4006,-25.1071,0.0757,5.4332,50.9988,137.2724,2240.0885,0.0000,0.0000,8907.7827,8907.7827,8907.7827,8907.7827,8907.7827,8907.7827
5.0000,1.0000,10.2908,12.6635,32.3000,1.0000,-2.5998,5,1019.6464,1216.3128,1599.2153,-153.8993,129.9228,171.4861,220.7335,-16.4817,16.6413,113.2815,0.0000,113.2815,0.0000,113.2815,7.1292,0.0000,106.1523,0.1909,,,105.9614,3.5220,102.4394,0.0000,102.4394,2.9822,99.4572,-31.4650,0.1751,7.1558,123.5913,180.7884,5605.0773,0.0000,0.0000,24242.8072,24242.8072,24242.8072,24242.8072,24242.8072,24242.8072
6.0000,1.0000,14.7958,15.9971,32.3000,0.8520,-2.4553,5,1282.2974,995.0869,1737.2140,-174.1249,132.5953,233.4726,286.5575,-23.4290,13.2975,119.2977,0.0000,119.2977,0.0000,119.2977,8.5391,0.0000,110.7586,0.2440,,,110.5147,3.7575,106.7572,0.0000,106.7572,3.1829,103.5743,-37.7933,0.3555,9.1026,131.9095,229.9665,4685.8447,0.0000,0.0000,25321.6286,25321.6286,25321.6286,25321.6286,25321.6286,25321.6286
7.0000,1.0000,19.7419,17.9776,32.3000,0.2483,-2.2695,0,1218.4246,80.5202,1404.2320,-168.0179,8.5790,181.2808,272.2837,-21.4952,-14.8019,23.3809,0.0000,23.3809,0.0000,23.3809,4.8545,0.0000,18.5265,0.2705,,,18.2560,1.3132,16.9428,0.0000,16.9428,1.0618,15.8810,-38.6658,0.4751,10.0678,44.0039,254.3389,661.9532,0.0000,0.0000,4906.6920,4906.6920,4906.6920,4906.6920,4906.6920,4906.6920
8.0000,1.0000,25.3054,20.1090,32.3000,0.9359,-2.0523,6,1252.1913,1462.1755,1609.6244,-171.3884,192.9079,213.1144,279.8296,-22.5372,16.0239,176.8841,0.0000,176.8841,0.0000,176.8841,10.6427,0.0000,166.2414,0.3045,,,165.9369,5.1718,160.7651,0.0000,160.7651,4.4284,156.3367,-39.1690,0.6786,11.2997,183.5274,285.4481,5525.7737,0.0000,0.0000,35638.0198,35638.0198,35638.0198,35638.0198,35638.0198,35638.0198
9.0000,1.0000,31.8592,23.5936,32.3000,1.0000,-1.7400,6,1477.6978,1616.4550,1857.8891,-198.9336,250.2963,287.3383,316.0154,-30.8758,18.8146,231.4816,0.0000,231.4816,0.0000,231.4816,13.8679,0.0000,217.6138,0.3600,,,217.2538,6.7617,210.4921,0.0000,210.4921,5.5399,204.9522,-39.0346,1.1028,13.2953,229.5887,335.8404,6183.5063,0.0000,0.0000,46867.6346,46867.6346,46867.6346,46867.6346,46867.6346,46867.6346
10.0000,1.0000,39.1263,25.8539,32.3000,0.2557,-1.3654,0,1507.5791,222.0143,1721.8640,-203.4069,38.4702,274.0222,317.3232,-32.2253,-19.0364,57.5066,0.0000,57.5066,0.0000,57.5066,7.4316,0.0000,50.0751,0.3990,,,49.6761,2.5796,47.0965,0.0000,47.0965,1.5278,45.5687,-33.9050,1.4727,14.6850,63.3160,370.9223,1329.3396,0.0000,0.0000,11762.1968,11762.1968,11762.1968,11762.1968,11762.1968,11762.1968
