Gear No,Input Speed [rpm],Input Torque [Nm],Torque Loss [Nm]
1,0,-5500,239.2
1,0,-5000,219.2
1,0,-4500,179.2
1,0,-4000,179.2
1,0,-3500,159.2
1,0,-3000,139.2
1,0,-2500,119.2
1,0,-2000,99.2
1,0,-1600,83.2
1,0,-1200,67.2
1,0,-900,55.2
1,0,-600,43.2
1,0,-400,35.2
1,0,-200,27.2
1,0,0,27.2
1,0,200,27.2
1,0,400,35.2
1,0,600,43.2
1,0,900,55.2
1,0,1200,67.2
1,0,1600,83.2
1,0,2000,99.2
1,0,2500,119.2
1,0,3000,139.2
1,0,3500,159.2
1,0,4000,179.2
1,0,4500,199.2
1,0,5000,219.2
1,0,5500,239.2
1,600,-5500,239.2
1,600,-5000,219.2
1,600,-4500,179.2
1,600,-4000,179.2
1,600,-3500,159.2
1,600,-3000,139.2
1,600,-2500,119.2
1,600,-2000,99.2
1,600,-1600,83.2
1,600,-1200,67.2
1,600,-900,55.2
1,600,-600,43.2
1,600,-400,35.2
1,600,-200,27.2
1,600,0,27.2
1,600,200,27.2
1,600,400,35.2
1,600,600,43.2
1,600,900,55.2
1,600,1200,67.2
1,600,1600,83.2
1,600,2000,99.2
1,600,2500,119.2
1,600,3000,139.2
1,600,3500,159.2
1,600,4000,179.2
1,600,4500,199.2
1,600,5000,219.2
1,600,5500,239.2
1,900,-5500,242.8
1,900,-5000,222.8
1,900,-4500,182.8
1,900,-4000,182.8
1,900,-3500,162.8
1,900,-3000,142.8
1,900,-2500,122.8
1,900,-2000,102.8
1,900,-1600,86.8
1,900,-1200,70.8
1,900,-900,58.8
1,900,-600,46.8
1,900,-400,38.8
1,900,-200,30.8
1,900,0,30.8
1,900,200,30.8
1,900,400,38.8
1,900,600,46.8
1,900,900,58.8
1,900,1200,70.8
1,900,1600,86.8
1,900,2000,102.8
1,900,2500,122.8
1,900,3000,142.8
1,900,3500,162.8
1,900,4000,182.8
1,900,4500,202.8
1,900,5000,222.8
1,900,5500,242.8
1,1200,-5500,246.4
1,1200,-5000,226.4
1,1200,-4500,186.4
1,1200,-4000,186.4
1,1200,-3500,166.4
1,1200,-3000,146.4
1,1200,-2500,126.4
1,1200,-2000,106.4
1,1200,-1600,90.4
1,1200,-1200,74.4
1,1200,-900,62.4
1,1200,-600,50.4
1,1200,-400,42.4
1,1200,-200,34.4
1,1200,0,34.4
1,1200,200,34.4
1,1200,400,42.4
1,1200,600,50.4
1,1200,900,62.4
1,1200,1200,74.4
1,1200,1600,90.4
1,1200,2000,106.4
1,1200,2500,126.4
1,1200,3000,146.4
1,1200,3500,166.4
1,1200,4000,186.4
1,1200,4500,206.4
1,1200,5000,226.4
1,1200,5500,246.4
1,1600,-5500,251.2
1,1600,-5000,231.2
1,1600,-4500,191.2
1,1600,-4000,191.2
1,1600,-3500,171.2
1,1600,-3000,151.2
1,1600,-2500,131.2
1,1600,-2000,111.2
1,1600,-1600,95.2
1,1600,-1200,79.2
1,1600,-900,67.2
1,1600,-600,55.2
1,1600,-400,47.2
1,1600,-200,39.2
1,1600,0,39.2
1,1600,200,39.2
1,1600,400,47.2
1,1600,600,55.2
1,1600,900,67.2
1,1600,1200,79.2
1,1600,1600,95.2
1,1600,2000,111.2
1,1600,2500,131.2
1,1600,3000,151.2
1,1600,3500,171.2
1,1600,4000,191.2
1,1600,4500,211.2
1,1600,5000,231.2
1,1600,5500,251.2
1,2000,-5500,256
1,2000,-5000,236
1,2000,-4500,196
1,2000,-4000,196
1,2000,-3500,176
1,2000,-3000,156
1,2000,-2500,136
1,2000,-2000,116
1,2000,-1600,100
1,2000,-1200,84
1,2000,-900,72
1,2000,-600,60
1,2000,-400,52
1,2000,-200,44
1,2000,0,44
1,2000,200,44
1,2000,400,52
1,2000,600,60
1,2000,900,72
1,2000,1200,84
1,2000,1600,100
1,2000,2000,116
1,2000,2500,136
1,2000,3000,156
1,2000,3500,176
1,2000,4000,196
1,2000,4500,216
1,2000,5000,236
1,2000,5500,256
1,2500,-5500,262
1,2500,-5000,242
1,2500,-4500,202
1,2500,-4000,202
1,2500,-3500,182
1,2500,-3000,162
1,2500,-2500,142
1,2500,-2000,122
1,2500,-1600,106
1,2500,-1200,90
1,2500,-900,78
1,2500,-600,66
1,2500,-400,58
1,2500,-200,50
1,2500,0,50
1,2500,200,50
1,2500,400,58
1,2500,600,66
1,2500,900,78
1,2500,1200,90
1,2500,1600,106
1,2500,2000,122
1,2500,2500,142
1,2500,3000,162
1,2500,3500,182
1,2500,4000,202
1,2500,4500,222
1,2500,5000,242
1,2500,5500,262
1,3000,-5500,268
1,3000,-5000,248
1,3000,-4500,208
1,3000,-4000,208
1,3000,-3500,188
1,3000,-3000,168
1,3000,-2500,148
1,3000,-2000,128
1,3000,-1600,112
1,3000,-1200,96
1,3000,-900,84
1,3000,-600,72
1,3000,-400,64
1,3000,-200,56
1,3000,0,56
1,3000,200,56
1,3000,400,64
1,3000,600,72
1,3000,900,84
1,3000,1200,96
1,3000,1600,112
1,3000,2000,128
1,3000,2500,148
1,3000,3000,168
1,3000,3500,188
1,3000,4000,208
1,3000,4500,228
1,3000,5000,248
1,3000,5500,268
2,0,-5500,239.2
2,0,-5000,219.2
2,0,-4500,179.2
2,0,-4000,179.2
2,0,-3500,159.2
2,0,-3000,139.2
2,0,-2500,119.2
2,0,-2000,99.2
2,0,-1600,83.2
2,0,-1200,67.2
2,0,-900,55.2
2,0,-600,43.2
2,0,-400,35.2
2,0,-200,27.2
2,0,0,27.2
2,0,200,27.2
2,0,400,35.2
2,0,600,43.2
2,0,900,55.2
2,0,1200,67.2
2,0,1600,83.2
2,0,2000,99.2
2,0,2500,119.2
2,0,3000,139.2
2,0,3500,159.2
2,0,4000,179.2
2,0,4500,199.2
2,0,5000,219.2
2,0,5500,239.2
2,600,-5500,239.2
2,600,-5000,219.2
2,600,-4500,179.2
2,600,-4000,179.2
2,600,-3500,159.2
2,600,-3000,139.2
2,600,-2500,119.2
2,600,-2000,99.2
2,600,-1600,83.2
2,600,-1200,67.2
2,600,-900,55.2
2,600,-600,43.2
2,600,-400,35.2
