# VECTO 3.3.10.2401 - 14.09.2022 19:38
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,2.9502,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1887.8508,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,2.9502,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1887.8508,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
3.0000,1.0000,0.5000,1.8000,60.0000,1.0000,2.9502,2,643.3876,886.5496,1251.8439,-139.0847,59.6994,84.3936,87.0216,-9.3716,2.5209,57.1785,29.9065,27.2721,0.0000,27.2721,1.7078,0.0000,25.5642,0.0276,,,25.5366,0.8253,24.7113,0.0000,24.7113,0.4348,24.2765,5.2114,0.0011,1.0433,18.0207,26.3606,9259.6727,0.0000,0.0000,11531.6988,11531.6988,11531.6988,11531.6988,11531.6988,11531.6988
4.0000,1.0000,2.0000,5.4000,60.0000,1.0000,2.9502,2,907.7065,1135.0159,1394.6867,-148.9821,108.8137,134.8219,180.1089,-14.2979,27.6736,81.1401,1.4518,79.6883,0.0000,79.6883,5.3530,0.0000,74.3353,0.0802,,,74.2551,2.4550,71.8000,0.0000,71.8000,1.2632,70.5368,15.1394,0.0149,3.0308,52.3517,76.5796,9268.8332,0.0000,0.0000,20488.7299,20488.7299,20488.7299,20488.7299,20488.7299,20488.7299
5.0000,1.0000,4.2536,7.5128,60.0000,0.1738,2.9502,0,1315.2851,370.4426,1665.5636,-177.7505,50.1324,229.9951,293.9293,-24.5043,2.8785,47.2539,0.0000,47.2539,0.0000,47.2539,5.4047,0.0000,41.8492,0.1203,,,41.7289,1.6997,40.0292,0.0000,40.0292,0.3009,39.7283,22.6747,0.0439,4.5393,12.4705,114.6951,3585.6427,0.0000,0.0000,12089.0795,12089.0795,12089.0795,12089.0795,12089.0795,12089.0795
6.0000,1.0000,6.4476,8.5035,60.0000,0.3766,2.9502,4,1073.6112,473.7462,1250.0803,-156.9237,47.3448,140.4708,238.2395,-17.7037,-19.2177,66.5626,0.0000,66.5626,0.0000,66.5626,4.7619,0.0000,61.8007,0.1192,,,61.6815,2.2594,59.4222,0.0000,59.4222,0.7638,58.6583,22.4629,0.0433,4.4969,31.6552,113.6240,4981.0118,0.0000,0.0000,10684.2237,10684.2237,10684.2237,10684.2237,10684.2237,10684.2237
7.0000,1.0000,9.4839,10.9504,60.0000,0.9827,2.9696,4,1098.3687,1574.6633,1701.7299,-159.4095,181.4689,197.1923,242.3911,-18.4405,22.0368,159.4320,0.0000,159.4320,0.0000,159.4320,9.2908,0.0000,150.1413,0.1643,,,149.9770,5.0287,144.9483,0.0000,144.9483,2.5346,142.4136,31.0831,0.1139,6.1747,105.0420,156.0183,9172.8675,0.0000,0.0000,33578.3822,33578.3822,33578.3822,33578.3822,33578.3822,33578.3822
8.0000,1.0000,13.4768,13.9173,60.0000,0.6655,3.0653,4,1416.1947,1181.5143,1857.4937,-190.6492,172.8415,275.5703,309.0972,-28.3531,15.5072,157.3344,0.0000,157.3344,0.0000,157.3344,10.6918,0.0000,146.6425,0.2144,,,146.4281,4.9908,141.4373,0.0000,141.4373,2.1571,139.2803,41.6231,0.2431,8.0189,89.3951,202.6223,7049.5831,0.0000,0.0000,33485.1563,33485.1563,33485.1563,33485.1563,33485.1563,33485.1563
9.0000,1.0000,17.5063,14.8364,60.0000,-0.1549,3.0680,0,1339.2046,149.4923,1468.6780,-181.0694,17.4227,208.2493,296.2749,-25.4894,-18.7117,36.1344,0.0000,36.1344,0.0000,36.1344,5.5751,0.0000,30.5593,0.2203,,,30.3390,1.6453,28.6938,0.0000,28.6938,-0.5323,29.2261,42.7890,0.2605,8.2370,-22.0604,208.1331,1403.0266,0.0000,0.0000,6953.2145,6953.2145,6953.2145,6953.2145,6953.2145,6953.2145
10.0000,1.0000,21.9584,16.1351,60.0000,0.8764,3.0680,5,1304.2022,1683.8828,1691.6142,-176.6213,231.3960,232.5419,290.8454,-24.1797,14.3688,217.0272,0.0000,217.0272,0.0000,217.0272,12.3986,0.0000,204.6286,0.2424,,,204.3861,6.5734,197.8127,0.0000,197.8127,3.3322,194.4805,46.9869,0.3498,9.0451,138.0987,228.5523,8498.2438,0.0000,0.0000,43436.3124,43436.3124,43436.3124,43436.3124,43436.3124,43436.3124
